================================================================================
Channel Pruning Log
  iteration  : 20
  alpha      : 0.3000
  timestamp  : 2026-06-29 01:42:56
  remove_target  : 23882
  accum_removed  : 24023
  selected_channels : 79
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 725098
  model_sparsity : 68.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          3      133    92.4%
  features.4                144          0      139    96.5%
  features.5                192          0      186    96.9%
  features.6                192          3      139    72.4%
  features.7                192          0      186    96.9%
  features.8                384          0      372    96.9%
  features.9                384          0      372    96.9%
  features.10               384          0      372    96.9%
  features.11               384          0      372    96.9%
  features.12               576          0      556    96.5%
  features.13               576          3      545    94.6%
  features.14               576          0      558    96.9%
  features.15               960         44      762    79.4%
  features.16               960         26      634    66.0%
  features.17               960          0      931    97.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  3          1      33.3%
  features.3                 14          1       7.1%
  features.4                  5          1      20.0%
  features.5                  6          1      16.7%
  features.6                 56          1       1.8%
  features.7                  6          1      16.7%
  features.8                 12          1       8.3%
  features.9                 12          1       8.3%
  features.10                12          1       8.3%
  features.11                12          1       8.3%
  features.12                20          1       5.0%
  features.13                34          1       2.9%
  features.14                18          1       5.6%
  features.15               242          2       0.8%
  features.16               352          2       0.6%
  features.17                29          1       3.4%

[ 블록별 제거 채널 수 ]
  features.13: 3채널 제거
  features.15: 44채널 제거
  features.16: 26채널 제거
  features.3: 3채널 제거
  features.6: 3채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.3                       115    -0.343560 8.771916e-08 5.700434e-04       57
features.16                      364    -0.332745 1.064361e-06 6.748615e-06      329
features.15                       55    -0.327711 6.272558e-07 4.157293e-07      329
features.15                      266    -0.324646 6.230205e-07 2.857199e-06      329
features.15                      641    -0.272084 5.443255e-07 3.566184e-05      329
features.16                      702    -0.268286 8.579546e-07 2.443933e-06      329
features.15                      924    -0.265188 5.108162e-07 5.185026e-06      329
features.16                      744    -0.264858 8.518190e-07 6.797531e-05      329
features.15                      305    -0.260430 5.037274e-07 8.205909e-06      329
features.15                      264    -0.245312 4.702620e-07 1.394926e-06      329
features.6                       131    -0.243223 1.942445e-07 6.261585e-06       73
features.16                      481    -0.241505 7.725072e-07 4.872965e-06      329
features.15                      749    -0.230629 4.497806e-07 1.281109e-05      329
features.15                      958    -0.225545 4.646583e-07 4.971936e-05      329
features.15                      485    -0.222458 4.449086e-07 2.895308e-05      329
features.3                        93    -0.221865 5.431386e-08 3.232488e-05       57
features.16                      316    -0.220427 7.062999e-07 2.093471e-05      329
