================================================================================
Channel Pruning Log
  iteration  : 21
  alpha      : 0.3000
  timestamp  : 2026-07-04 23:42:13
  remove_target  : 21491
  accum_removed  : 21603
  selected_channels : 75
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 703613
  model_sparsity : 69.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       91    94.8%
  features.3                144          0      139    96.5%
  features.4                144          0      139    96.5%
  features.5                192          2      182    94.8%
  features.6                192          0      142    74.0%
  features.7                192          0      186    96.9%
  features.8                384          0      372    96.9%
  features.9                384          0      372    96.9%
  features.10               384          0      372    96.9%
  features.11               384          0      372    96.9%
  features.12               576          0      530    92.0%
  features.13               576         20      533    92.5%
  features.14               576          0      558    96.9%
  features.15               960         37      833    86.8%
  features.16               960         16      651    67.8%
  features.17               960          0      931    97.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  5          1      20.0%
  features.3                  5          1      20.0%
  features.4                  5          1      20.0%
  features.5                 12          1       8.3%
  features.6                 50          1       2.0%
  features.7                  6          1      16.7%
  features.8                 12          1       8.3%
  features.9                 12          1       8.3%
  features.10                12          1       8.3%
  features.11                12          1       8.3%
  features.12                46          1       2.2%
  features.13                63          1       1.6%
  features.14                18          1       5.6%
  features.15               164          1       0.6%
  features.16               325          2       0.6%
  features.17                29          1       3.4%

[ 블록별 제거 채널 수 ]
  features.13: 20채널 제거
  features.15: 37채널 제거
  features.16: 16채널 제거
  features.5: 2채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.13                      197    -0.509744 8.854237e-08 1.846792e-07      201
features.13                      168    -0.494105 9.141998e-08 2.066965e-05      201
features.13                       40    -0.411254 7.208163e-08 2.518750e-06      201
features.13                       69    -0.407053 7.070184e-08 1.363668e-07      201
features.13                      496    -0.401797 7.028520e-08 1.952272e-06      201
features.13                      264    -0.399201 7.000552e-08 2.578784e-06      201
features.15                      648    -0.398771 6.089237e-07 4.406884e-06      329
features.13                      198    -0.383903 6.786748e-08 4.474879e-06      201
features.16                      398    -0.382202 1.269147e-06 4.275443e-07      329
features.13                       63    -0.381228 6.626608e-08 3.099701e-07      201
features.15                      240    -0.371191 5.657078e-07 5.229070e-07      329
features.5                       154    -0.363427 6.083835e-08 1.233810e-06       73
features.13                      383    -0.351835 6.115557e-08 2.812241e-07      201
features.13                       83    -0.351580 6.572259e-08 1.717157e-05      201
features.13                      228    -0.345109 6.012912e-08 7.981985e-07      201
features.15                      751    -0.336099 5.130792e-07 3.245614e-06      329
features.16                      414    -0.322728 1.073562e-06 6.649925e-07      329
