================================================================================
Channel Pruning Log
  iteration  : 26
  alpha      : 0.5000
  timestamp  : 2026-07-12 19:29:41
  remove_target  : 23551
  accum_removed  : 23829
  selected_channels : 77
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1331249
  model_sparsity : 39.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       22    68.8%
  features.2                 96          0       92    95.8%
  features.3                144          0       53    36.8%
  features.4                144          0       27    18.8%
  features.5                192          0       35    18.2%
  features.6                192          0       84    43.8%
  features.7                192          0       34    17.7%
  features.8                384          0       27     7.0%
  features.9                384          0      348    90.6%
  features.10               384          2      366    95.3%
  features.11               384          7      318    82.8%
  features.12               576          0      363    63.0%
  features.13               576          0      284    49.3%
  features.14               576          0      540    93.8%
  features.15               960         39      487    50.7%
  features.16               960         29      266    27.7%
  features.17               960          0      333    34.7%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                  4          1      25.0%
  features.3                 91          1       1.1%
  features.4                117          1       0.9%
  features.5                157          1       0.6%
  features.6                108          1       0.9%
  features.7                158          1       0.6%
  features.8                357          2       0.6%
  features.9                 36          1       2.8%
  features.10                20          1       5.0%
  features.11                73          1       1.4%
  features.12               213          2       0.9%
  features.13               292          2       0.7%
  features.14                36          1       2.8%
  features.15               512          3       0.6%
  features.16               723          4       0.6%
  features.17               627          4       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 2채널 제거
  features.11: 7채널 제거
  features.15: 39채널 제거
  features.16: 29채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.15                      404    -0.472570 1.054607e-05 1.621639e-06      329
features.16                      359    -0.454403 1.628915e-05 6.808388e-06      329
features.16                      587    -0.449582 1.655083e-05 1.833252e-05      329
features.16                       22    -0.413413 1.533095e-05 1.983675e-05      329
