================================================================================
Channel Pruning Log
  iteration  : 29
  alpha      : 0.5000
  timestamp  : 2026-07-13 19:34:11
  remove_target  : 21800
  accum_removed  : 21887
  selected_channels : 71
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1263124
  model_sparsity : 42.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       82    85.4%
  features.3                144          0       88    61.1%
  features.4                144          0      116    80.6%
  features.5                192          0       60    31.2%
  features.6                192          0       92    47.9%
  features.7                192          0      148    77.1%
  features.8                384          0       76    19.8%
  features.9                384          0      308    80.2%
  features.10               384          0      357    93.0%
  features.11               384          5      310    80.7%
  features.12               576         20      467    81.1%
  features.13               576         19      412    71.5%
  features.14               576          0      528    91.7%
  features.15               960          0      523    54.5%
  features.16               960          0      261    27.2%
  features.17               960         27      321    33.4%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 14          1       7.1%
  features.3                 56          1       1.8%
  features.4                 28          1       3.6%
  features.5                132          1       0.8%
  features.6                100          1       1.0%
  features.7                 44          1       2.3%
  features.8                308          2       0.6%
  features.9                 76          1       1.3%
  features.10                27          1       3.7%
  features.11                79          1       1.3%
  features.12               129          1       0.8%
  features.13               183          1       0.5%
  features.14                48          1       2.1%
  features.15               437          3       0.7%
  features.16               699          4       0.6%
  features.17               666          4       0.6%

[ 블록별 제거 채널 수 ]
  features.11: 5채널 제거
  features.12: 20채널 제거
  features.13: 19채널 제거
  features.17: 27채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.13                      143    -0.497823 4.023105e-07 1.698050e-06      201
features.17                       72    -0.497743 4.136200e-06 2.342857e-07      489
features.12                      324    -0.496379 2.379609e-07 9.405155e-07      201
features.17                      581    -0.435940 3.639012e-06 4.108152e-07      489
features.13                      325    -0.422587 3.404223e-07 3.872900e-07      201
features.12                      503    -0.410746 1.984793e-07 1.635855e-06      201
features.12                      373    -0.410153 1.983791e-07 1.735343e-06      201
features.17                      256    -0.405005 3.376323e-06 3.257667e-07      489
features.12                      114    -0.395991 2.340874e-07 2.491668e-05      201
features.17                      749    -0.392633 3.307840e-06 7.506344e-07      489
features.12                      548    -0.389946 1.888718e-07 1.795232e-06      201
features.17                      507    -0.379117 3.173299e-06 4.654705e-07      489
features.13                       26    -0.376659 3.048335e-07 1.712285e-06      201
features.13                      136    -0.372291 3.045116e-07 4.809189e-06      201
features.17                      374    -0.370437 3.121542e-06 7.169709e-07      489
features.12                      264    -0.364771 1.842850e-07 5.833360e-06      201
features.13                       52    -0.358357 2.929398e-07 4.459469e-06      201
features.12                      128    -0.353453 2.360285e-07 3.703290e-05      201
features.17                      812    -0.351848 2.988287e-06 9.744733e-07      489
features.12                      257    -0.350359 1.695891e-07 1.553670e-06      201
features.13                      469    -0.345914 2.789901e-07 6.402273e-07      201
features.12                      440    -0.345813 1.711213e-07 3.571979e-06      201
features.12                       16    -0.343194 1.686750e-07 2.916596e-06      201
features.12                      243    -0.342772 1.665476e-07 1.864448e-06      201
features.17                      583    -0.341524 3.025954e-06 2.518879e-06      489
features.13                       45    -0.339978 2.752749e-07 1.669043e-06      201
features.12                      160    -0.338854 1.690976e-07 4.275395e-06      201
features.17                      230    -0.338252 2.878544e-06 1.008789e-06      489
features.17                      172    -0.332347 2.792581e-06 5.429609e-07      489
features.17                      916    -0.332339 2.840311e-06 1.142804e-06      489
features.12                      294    -0.330595 1.691296e-07 6.439425e-06      201
features.17                      796    -0.327046 3.094243e-06 4.878643e-06      489
features.12                       60    -0.326839 1.643131e-07 4.785386e-06      201
features.13                      514    -0.323891 2.622217e-07 1.563078e-06      201
features.17                      828    -0.323673 2.727693e-06 6.291477e-07      489
features.17                      294    -0.323256 2.717542e-06 5.451088e-07      489
features.13                      134    -0.316633 2.556738e-07 8.767253e-07      201
features.17                      380    -0.315808 2.643469e-06 3.887643e-07      489
features.12                       39    -0.313747 1.550883e-07 3.150196e-06      201
features.17                      107    -0.309810 2.613623e-06 6.368612e-07      489
features.13                      525    -0.305000 2.523897e-07 6.770739e-06      201
features.13                      352    -0.304338 2.459764e-07 1.066393e-06      201
features.13                      524    -0.304177 2.455478e-07 7.757382e-07      201
features.17                      632    -0.302971 2.529190e-06 2.872694e-07      489
features.13                      294    -0.302507 2.490619e-07 5.488200e-06      201
features.13                       97    -0.301858 2.475336e-07 4.512017e-06      201
features.13                      110    -0.301842 2.437677e-07 8.714185e-07      201
features.12                      473    -0.298370 1.556390e-07 7.447662e-06      201
features.17                      804    -0.297714 2.487476e-06 3.095575e-07      489
features.11                      228    -0.296213 1.262945e-06 1.309117e-05      169
features.11                      189    -0.295902 1.235357e-06 4.648494e-06      169
features.12                      451    -0.295884 1.482727e-07 4.070895e-06      201
features.13                      383    -0.295643 2.390661e-07 1.149640e-06      201
features.17                      387    -0.295459 2.479741e-06 4.465857e-07      489
features.12                      469    -0.292101 1.490602e-07 5.484334e-06      201
features.13                      250    -0.289305 2.347142e-07 1.874766e-06      201
features.11                      375    -0.288660 1.273032e-06 2.633147e-05      169
features.13                      125    -0.287272 2.331337e-07 1.928860e-06      201
features.13                      569    -0.286962 2.313258e-07 4.165504e-07      201
features.12                      420    -0.284740 1.362107e-07 3.801415e-07      201
features.17                      521    -0.284522 2.403740e-06 6.281360e-07      489
features.11                      320    -0.283192 1.268791e-06 3.221221e-05      169
features.17                      418    -0.283136 2.445958e-06 1.301821e-06      489
features.17                       23    -0.281935 2.735700e-06 5.062253e-06      489
features.17                      563    -0.281751 2.337801e-06 8.838386e-08      489
features.17                      862    -0.281481 2.487836e-06 1.999136e-06      489
features.17                      138    -0.281139 2.389663e-06 8.027426e-07      489
features.17                      449    -0.281101 2.433179e-06 1.352655e-06      489
features.11                      184    -0.278459 1.224357e-06 2.421798e-05      169
features.12                      280    -0.278164 1.551388e-07 1.242605e-05      201
features.17                      439    -0.277913 2.516550e-06 2.729820e-06      489
