================================================================================
Channel Pruning Log
  iteration  : 21
  alpha      : 0.1000
  timestamp  : 2026-06-04 14:14:44
  remove_target  : 21524
  accum_removed  : 21731
  selected_channels : 75
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 703813
  model_sparsity : 69.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          0      139    96.5%
  features.4                144          0      139    96.5%
  features.5                192          1      183    95.3%
  features.6                192         10      167    87.0%
  features.7                192          0      186    96.9%
  features.8                384          0      372    96.9%
  features.9                384          0      372    96.9%
  features.10               384          0      372    96.9%
  features.11               384          0      372    96.9%
  features.12               576          1      553    96.0%
  features.13               576          0      558    96.9%
  features.14               576          0      558    96.9%
  features.15               960         29      850    88.5%
  features.16               960         34      598    62.3%
  features.17               960          0      931    97.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  3          1      33.3%
  features.3                  5          1      20.0%
  features.4                  5          1      20.0%
  features.5                 10          1      10.0%
  features.6                 35          1       2.9%
  features.7                  6          1      16.7%
  features.8                 12          1       8.3%
  features.9                 12          1       8.3%
  features.10                12          1       8.3%
  features.11                12          1       8.3%
  features.12                24          1       4.2%
  features.13                18          1       5.6%
  features.14                18          1       5.6%
  features.15               139          1       0.7%
  features.16               396          2       0.5%
  features.17                29          1       3.4%

[ 블록별 제거 채널 수 ]
  features.12: 1채널 제거
  features.15: 29채널 제거
  features.16: 34채널 제거
  features.5: 1채널 제거
  features.6: 10채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.16                      428    -0.311604 1.461654e-06 3.945837e-05      329
features.6                         9    -0.291112 1.013555e-07 1.051097e-06       73
features.6                       136    -0.278492 9.696591e-08 1.472245e-06       73
features.6                       161    -0.251975 8.772435e-08 3.922316e-07       73
features.16                      109    -0.248940 1.142599e-06 9.030672e-07      329
features.15                      266    -0.213116 4.025772e-07 1.358546e-06      329
features.15                      812    -0.210896 3.985893e-07 1.732139e-06      329
features.16                      906    -0.207977 9.545691e-07 7.311409e-07      329
features.16                      688    -0.195399 8.967178e-07 5.401498e-07      329
features.15                      146    -0.188483 3.558644e-07 8.595301e-07      329
features.16                      854    -0.188196 8.633148e-07 9.541519e-08      329
features.16                       34    -0.186066 8.540176e-07 6.759072e-07      329
features.15                      201    -0.181193 3.427495e-07 2.053326e-06      329
features.16                      210    -0.179742 8.246244e-07 2.042958e-07      329
features.16                      550    -0.177436 8.140294e-07 1.807225e-07      329
features.15                      528    -0.176429 3.340798e-07 2.647994e-06      329
features.15                      560    -0.170812 3.227611e-07 1.270131e-06      329
