================================================================================
Channel Pruning Log
  iteration  : 16
  alpha      : 0.3000
  timestamp  : 2026-05-23 18:54:07
  remove_target  : 36492
  accum_removed  : 36672
  selected_channels : 128
  gamma             : 0.0010
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 838550
  model_sparsity : 63.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       86    89.6%
  features.3                144          2      129    89.6%
  features.4                144          4       67    46.5%
  features.5                192          0      172    89.6%
  features.6                192         13      158    82.3%
  features.7                192          0      172    89.6%
  features.8                384          0      345    89.8%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          4      506    87.8%
  features.14               576          0      518    89.9%
  features.15               960         94      685    71.4%
  features.16               960         11      612    63.7%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.00) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 10          1      10.0%
  features.3                 17          1       5.9%
  features.4                 81          1       1.2%
  features.5                 20          1       5.0%
  features.6                 47          1       2.1%
  features.7                 20          1       5.0%
  features.8                 39          1       2.6%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                74          1       1.4%
  features.14                58          1       1.7%
  features.15               369          1       0.3%
  features.16               359          1       0.3%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.13: 4채널 제거
  features.15: 94채널 제거
  features.16: 11채널 제거
  features.3: 2채널 제거
  features.4: 4채널 제거
  features.6: 13채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.15                      757    -0.426643 6.522886e-07 3.353892e-06      329
features.15                      409    -0.335569 3.129338e-07 3.116866e-09      329
features.6                       127    -0.275705 4.030683e-08 2.441746e-06       73
features.15                      789    -0.260085 2.461950e-07 5.051913e-08      329
features.15                      695    -0.259320 2.453440e-07 4.869323e-08      329
features.6                       150    -0.247195 3.551126e-08 3.022814e-07       73
features.15                       74    -0.245774 2.331119e-07 5.383913e-08      329
features.15                      495    -0.245767 2.301429e-07 1.483795e-08      329
features.15                      547    -0.244674 2.442636e-07 2.141670e-07      329
features.15                      332    -0.239832 2.287796e-07 6.970642e-08      329
features.15                      397    -0.239648 2.284976e-07 6.824848e-08      329
features.15                      723    -0.234843 2.188874e-07 6.717180e-10      329
features.3                        81    -0.234326 2.199682e-08 2.621353e-05       57
features.15                      219    -0.232602 2.185971e-07 2.434031e-08      329
features.6                       106    -0.232525 3.335315e-08 1.323513e-07       73
features.15                      328    -0.228500 2.286878e-07 2.075310e-07      329
features.15                      112    -0.228496 2.136623e-07 9.738633e-09      329
features.15                      348    -0.226749 2.217737e-07 1.379761e-07      329
features.15                      427    -0.226598 2.128739e-07 2.265424e-08      329
features.15                      574    -0.225167 2.338619e-07 3.165505e-07      329
features.15                       55    -0.224701 2.117242e-07 3.078415e-08      329
features.15                      608    -0.224224 2.191959e-07 1.350206e-07      329
features.15                      131    -0.223103 2.176665e-07 1.286323e-07      329
features.15                      893    -0.220306 2.414843e-07 4.765523e-07      329
features.6                        81    -0.220116 3.169288e-08 4.851027e-07       73
features.15                      562    -0.220075 2.099574e-07 6.428275e-08      329
features.15                      204    -0.219415 2.077935e-07 4.388686e-08      329
features.15                      533    -0.218874 2.262782e-07 2.939146e-07      329
features.6                       113    -0.214830 3.091666e-08 4.278817e-07       73
features.15                      701    -0.214646 2.112125e-07 1.474190e-07      329
features.15                      385    -0.214603 2.082066e-07 1.083666e-07      329
features.6                       120    -0.213265 3.085058e-08 9.033737e-07       73
features.15                      440    -0.212940 2.089175e-07 1.381349e-07      329
features.15                      904    -0.212280 1.983648e-07 7.289639e-09      329
features.6                       140    -0.210920 3.030486e-08 2.722621e-07       73
features.15                      158    -0.210131 1.981603e-07 3.095938e-08      329
features.15                      108    -0.209328 2.041579e-07 1.197790e-07      329
features.15                       54    -0.209149 1.999593e-07 6.669787e-08      329
features.15                      402    -0.208341 2.119741e-07 2.348101e-07      329
features.15                      635    -0.207590 1.968088e-07 4.434332e-08      329
features.13                      405    -0.207343 5.634734e-08 3.177935e-07      201
features.15                      330    -0.207086 1.966509e-07 4.844460e-08      329
features.15                      347    -0.207011 2.025388e-07 1.268899e-07      329
features.15                      282    -0.206415 1.951606e-07 3.705762e-08      329
features.15                      858    -0.204818 1.983892e-07 9.916316e-08      329
features.16                      896    -0.204487 4.764875e-07 8.917006e-08      329
features.15                      879    -0.201666 1.899626e-07 2.687763e-08      329
features.15                      677    -0.200063 1.943051e-07 1.037289e-07      329
features.15                      730    -0.199881 1.869475e-07 9.084255e-09      329
features.15                      740    -0.199815 1.950512e-07 1.165916e-07      329
features.15                      481    -0.199590 1.939041e-07 1.042531e-07      329
features.15                       20    -0.198624 1.921646e-07 9.319342e-08      329
features.15                      469    -0.196360 1.863732e-07 4.472069e-08      329
features.15                      712    -0.196325 1.950082e-07 1.588427e-07      329
features.6                        66    -0.195681 2.803835e-08 2.142074e-08       73
features.15                      564    -0.195317 1.858861e-07 5.110049e-08      329
features.6                       144    -0.195126 2.798744e-08 1.073818e-07       73
features.6                        39    -0.193755 2.780856e-08 1.597878e-07       73
features.15                      304    -0.193475 1.892667e-07 1.182181e-07      329
features.15                      673    -0.193182 1.830880e-07 4.046400e-08      329
features.15                      864    -0.191986 1.849992e-07 8.029436e-08      329
features.15                      721    -0.190950 1.843062e-07 8.388790e-08      329
features.15                      355    -0.190940 1.978454e-07 2.622736e-07      329
features.15                      284    -0.190209 1.989140e-07 2.853179e-07      329
features.15                      494    -0.189521 1.804132e-07 5.016481e-08      329
features.15                      738    -0.188805 1.872654e-07 1.491708e-07      329
features.15                      186    -0.187689 1.750395e-07 1.880296e-09      329
features.15                       48    -0.187419 1.763881e-07 2.295638e-08      329
features.16                      750    -0.187412 4.330724e-07 2.241981e-08      329
features.4                        18    -0.186651 4.275006e-07 2.125366e-07       65
features.3                       138    -0.186315 1.833938e-08 4.885140e-05       57
features.15                      646    -0.186266 1.774071e-07 5.050977e-08      329
features.15                      698    -0.186019 1.889763e-07 2.058738e-07      329
features.15                      845    -0.186002 1.940554e-07 2.729614e-07      329
features.15                      851    -0.184320 1.803478e-07 1.131154e-07      329
features.15                       58    -0.184216 1.753899e-07 4.911092e-08      329
features.15                       92    -0.183439 1.754033e-07 5.881100e-08      329
features.15                      934    -0.182431 1.740605e-07 5.350266e-08      329
features.6                        65    -0.182334 2.614557e-08 7.891311e-08       73
features.15                      492    -0.182315 1.786289e-07 1.150734e-07      329
features.15                      900    -0.181924 1.753276e-07 7.640624e-08      329
features.15                      463    -0.181859 1.736599e-07 5.525174e-08      329
features.15                      101    -0.181829 1.729458e-07 4.621691e-08      329
features.15                      891    -0.181541 1.701781e-07 1.330385e-08      329
features.13                       31    -0.181498 4.854068e-08 1.316663e-07      201
features.4                        91    -0.180231 4.096204e-07 1.895669e-07       65
features.15                      229    -0.179361 1.735412e-07 8.433373e-08      329
features.15                      382    -0.178375 1.772019e-07 1.446307e-07      329
features.15                      279    -0.178358 1.677638e-07 2.056762e-08      329
features.15                      566    -0.177048 1.656230e-07 8.454379e-09      329
features.16                      825    -0.177012 4.084643e-07 1.176233e-08      329
features.15                      557    -0.176861 1.686755e-07 5.093910e-08      329
features.15                      135    -0.176698 1.775286e-07 1.695057e-07      329
features.16                      154    -0.176078 4.056406e-07 8.061948e-10      329
features.15                      349    -0.175967 1.766856e-07 1.673782e-07      329
features.6                        21    -0.175953 2.537788e-08 5.188597e-07       73
features.16                       40    -0.175625 4.048148e-07 4.333282e-09      329
features.15                      323    -0.175563 1.664465e-07 3.751700e-08      329
features.15                      681    -0.175429 1.701980e-07 8.855546e-08      329
features.16                      571    -0.174582 4.034154e-07 2.074705e-08      329
features.13                      562    -0.174558 4.702224e-08 1.897983e-07      201
features.13                      139    -0.174468 4.747373e-08 2.787532e-07      201
features.15                      804    -0.174004 1.737281e-07 1.525229e-07      329
features.15                      707    -0.172804 1.660256e-07 6.583068e-08      329
features.15                      272    -0.172074 1.805126e-07 2.655262e-07      329
features.16                      382    -0.171521 3.964422e-07 2.200688e-08      329
features.16                       95    -0.171287 3.999736e-07 8.853865e-08      329
features.15                      726    -0.171227 1.616309e-07 2.730968e-08      329
features.4                        60    -0.171189 4.069935e-07 2.684186e-07       65
features.15                      276    -0.170462 1.623664e-07 4.638872e-08      329
features.15                      603    -0.169934 1.616134e-07 4.294778e-08      329
features.4                       126    -0.169351 3.594878e-07 5.288415e-08       65
features.16                      490    -0.169247 3.915511e-07 2.768533e-08      329
features.15                       80    -0.168786 1.621440e-07 6.401234e-08      329
features.15                      954    -0.168524 1.618724e-07 6.365381e-08      329
features.15                      713    -0.167636 1.576859e-07 1.942749e-08      329
features.15                      190    -0.167609 1.562793e-07 1.235866e-09      329
features.15                       15    -0.165691 1.655763e-07 1.471851e-07      329
features.15                      159    -0.164925 1.685946e-07 1.963237e-07      329
features.15                      668    -0.164923 1.541587e-07 6.273472e-09      329
features.6                        58    -0.164381 2.358815e-08 1.221498e-07       73
features.15                      322    -0.164240 1.535443e-07 6.562173e-09      329
features.16                        3    -0.164095 3.782362e-07 4.015203e-09      329
features.16                      447    -0.163727 3.804714e-07 5.443479e-08      329
features.15                      170    -0.163655 1.592195e-07 8.846595e-08      329
features.15                      487    -0.163601 1.532107e-07 1.000797e-08      329
