================================================================================
Channel Pruning Log
  iteration  : 18
  alpha      : 0.3000
  timestamp  : 2026-05-23 21:19:27
  remove_target  : 29514
  accum_removed  : 29540
  selected_channels : 100
  gamma             : 0.0010
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 775907
  model_sparsity : 66.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          4       73    50.7%
  features.5                192          0      172    89.6%
  features.6                192          3      162    84.4%
  features.7                192          0      172    89.6%
  features.8                384          0      345    89.8%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576         12      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960         75      857    89.3%
  features.16               960          6      621    64.7%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.00) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 75          1       1.3%
  features.5                 20          1       5.0%
  features.6                 33          1       3.0%
  features.7                 20          1       5.0%
  features.8                 39          1       2.6%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                70          1       1.4%
  features.14                58          1       1.7%
  features.15               178          1       0.6%
  features.16               345          1       0.3%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.13: 12채널 제거
  features.15: 75채널 제거
  features.16: 6채널 제거
  features.4: 4채널 제거
  features.6: 3채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.4                        46    -0.411073 1.470282e-06 4.130356e-06       65
features.15                      311    -0.283085 2.302808e-07 2.838447e-07      329
features.15                      188    -0.259147 2.244579e-07 7.961971e-07      329
features.15                      901    -0.255070 2.266020e-07 1.006675e-06      329
features.15                       85    -0.250659 1.978353e-07 1.290277e-08      329
features.15                       60    -0.248070 1.955723e-07 4.126167e-09      329
features.4                         6    -0.246411 6.737496e-07 1.063018e-06       65
features.15                      226    -0.243922 1.944370e-07 8.793781e-08      329
features.15                      938    -0.241794 1.946048e-07 1.604120e-07      329
features.15                      525    -0.239771 1.906014e-07 6.574374e-08      329
features.15                      800    -0.238644 1.914006e-07 1.320426e-07      329
features.15                      760    -0.236313 1.875251e-07 5.194153e-08      329
features.15                      674    -0.233644 1.936495e-07 3.752345e-07      329
features.15                      906    -0.232143 1.869281e-07 1.575978e-07      329
features.15                      505    -0.231413 1.889009e-07 2.577161e-07      329
features.15                      601    -0.228473 1.826014e-07 1.012071e-07      329
features.15                      647    -0.227435 1.812368e-07 7.972133e-08      329
features.15                      913    -0.225390 1.779060e-07 1.214695e-08      329
features.6                        57    -0.225332 2.822485e-08 1.482504e-07       73
features.15                      511    -0.225053 1.801421e-07 1.104497e-07      329
features.15                      503    -0.224247 1.846063e-07 3.108463e-07      329
features.13                      182    -0.223788 5.797114e-08 2.288774e-07      201
features.15                      785    -0.221462 1.764699e-07 7.733788e-08      329
features.15                      433    -0.218937 1.828049e-07 4.044660e-07      329
features.15                      705    -0.218625 1.725008e-07 9.225750e-09      329
features.15                      134    -0.218594 1.785712e-07 2.487210e-07      329
features.15                      518    -0.217976 1.766158e-07 1.910276e-07      329
features.15                      237    -0.217659 1.717096e-07 8.045332e-09      329
features.15                      887    -0.216928 1.742358e-07 1.299333e-07      329
features.15                      779    -0.216134 1.747904e-07 1.763141e-07      329
features.13                      513    -0.216104 5.541396e-08 1.081917e-07      201
features.15                      628    -0.215198 1.726175e-07 1.199207e-07      329
features.16                      809    -0.213809 6.690187e-07 5.601811e-07      329
features.15                      836    -0.213770 1.807641e-07 4.842302e-07      329
features.15                      862    -0.213290 1.684539e-07 1.537852e-08      329
features.16                      937    -0.213155 6.383430e-07 2.108557e-08      329
features.15                      146    -0.209370 1.660248e-07 4.130012e-08      329
features.15                      892    -0.209295 1.821083e-07 6.756079e-07      329
features.15                      868    -0.208760 1.648641e-07 1.458412e-08      329
features.15                       78    -0.208540 1.665563e-07 8.789434e-08      329
features.15                      278    -0.207548 1.643932e-07 3.359339e-08      329
features.15                      461    -0.207022 1.644560e-07 5.236652e-08      329
features.15                      530    -0.205689 1.634805e-07 5.531631e-08      329
features.13                      475    -0.205133 5.227869e-08 3.856850e-08      201
features.15                      218    -0.204814 1.720373e-07 4.186126e-07      329
features.15                       71    -0.204551 1.767887e-07 6.134682e-07      329
features.15                      117    -0.204510 1.617899e-07 2.539008e-08      329
features.15                      748    -0.203716 1.627132e-07 8.623242e-08      329
features.16                      618    -0.201697 6.036087e-07 1.208201e-08      329
features.15                      555    -0.201096 1.628263e-07 1.718045e-07      329
features.15                      816    -0.201043 1.597974e-07 5.443073e-08      329
features.15                      578    -0.199722 1.602786e-07 1.142312e-07      329
features.15                      307    -0.199631 1.643461e-07 2.768967e-07      329
features.15                      396    -0.198899 1.679458e-07 4.409892e-07      329
features.4                       136    -0.198072 4.662506e-07 3.418023e-07       65
features.15                      172    -0.196451 1.603111e-07 2.167821e-07      329
features.15                       97    -0.195795 1.555056e-07 4.827271e-08      329
features.15                      391    -0.194711 1.569356e-07 1.380187e-07      329
features.15                      486    -0.193900 1.682345e-07 6.071108e-07      329
features.16                      642    -0.193305 5.866707e-07 1.650340e-07      329
features.15                       43    -0.190539 1.530413e-07 1.141782e-07      329
features.15                      780    -0.189345 1.564978e-07 2.869616e-07      329
features.15                      183    -0.189074 1.501370e-07 4.541898e-08      329
features.16                      692    -0.188734 5.709189e-07 1.258448e-07      329
features.15                      884    -0.188333 1.603076e-07 4.680085e-07      329
features.13                      407    -0.187716 4.889317e-08 2.450386e-07      201
features.15                      767    -0.187219 1.479854e-07 1.829725e-08      329
features.13                      285    -0.186760 4.883287e-08 2.813730e-07      201
features.13                      399    -0.186712 4.826731e-08 1.711684e-07      201
features.15                      136    -0.186396 1.479218e-07 4.127251e-08      329
features.6                        37    -0.186341 2.333462e-08 8.774742e-08       73
features.15                      882    -0.183846 1.487129e-07 1.513083e-07      329
features.15                      317    -0.183459 1.561281e-07 4.546689e-07      329
features.15                      326    -0.182961 1.472223e-07 1.201485e-07      329
features.15                      428    -0.182935 1.648490e-07 8.135684e-07      329
features.13                      134    -0.182432 4.672343e-08 8.009621e-08      201
features.15                      715    -0.182071 1.493718e-07 2.321824e-07      329
features.13                       13    -0.181835 4.638273e-08 4.243234e-08      201
features.15                      787    -0.181376 1.503844e-07 2.934914e-07      329
features.15                       66    -0.180583 1.471988e-07 1.928642e-07      329
features.15                      641    -0.180072 1.475162e-07 2.211440e-07      329
features.16                      434    -0.179516 5.396345e-07 5.589625e-08      329
features.15                      927    -0.179428 1.414993e-07 4.652760e-09      329
features.15                      296    -0.178778 1.423995e-07 6.016352e-08      329
features.15                      369    -0.177218 1.399445e-07 1.198492e-08      329
features.13                       72    -0.177166 4.531822e-08 6.654031e-08      201
features.15                      490    -0.175567 1.464725e-07 3.196286e-07      329
features.15                      930    -0.175410 1.409189e-07 1.062496e-07      329
features.15                      728    -0.175404 1.382421e-07 1.270515e-09      329
features.13                      125    -0.173518 4.537742e-08 2.628264e-07      201
features.4                        33    -0.172785 3.942281e-07 2.131003e-07       65
features.6                       165    -0.172093 2.162775e-08 5.073389e-07       73
features.13                      487    -0.170747 4.374440e-08 7.771089e-08      201
features.15                      359    -0.169459 1.393863e-07 2.302829e-07      329
features.13                      360    -0.169219 4.375039e-08 1.561667e-07      201
features.15                      416    -0.168511 1.369807e-07 1.651080e-07      329
features.15                      637    -0.167888 1.334283e-07 4.481840e-08      329
features.15                      103    -0.166814 1.331279e-07 6.625910e-08      329
features.15                      798    -0.164699 1.300800e-07 1.199632e-08      329
features.15                      453    -0.163471 1.319352e-07 1.228965e-07      329
