================================================================================
Channel Pruning Log
  iteration  : 19
  alpha      : 0.3000
  timestamp  : 2026-05-23 22:32:17
  remove_target  : 26560
  accum_removed  : 26693
  selected_channels : 117
  gamma             : 0.0010
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 749214
  model_sparsity : 67.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144         35      108    75.0%
  features.5                192          0      172    89.6%
  features.6                192         10      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384          0      345    89.8%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960          7      864    90.0%
  features.16               960         65      686    71.5%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.00) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 71          1       1.4%
  features.5                 20          1       5.0%
  features.6                 30          1       3.3%
  features.7                 20          1       5.0%
  features.8                 39          1       2.6%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15               103          1       1.0%
  features.16               339          1       0.3%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.15: 7채널 제거
  features.16: 65채널 제거
  features.4: 35채널 제거
  features.6: 10채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.4                       109    -0.476875 9.957017e-07 5.828908e-06       65
features.6                       116    -0.405127 3.303202e-08 1.597044e-06       73
features.4                       112    -0.333604 5.038822e-07 5.390910e-07       65
features.6                       124    -0.321882 2.616017e-08 3.573275e-07       73
features.4                        21    -0.310302 4.486569e-07 1.335843e-07       65
features.4                        75    -0.301753 5.354462e-07 1.950861e-06       65
features.4                        99    -0.299174 4.555614e-07 5.510907e-07       65
features.4                        80    -0.281474 4.718933e-07 1.313444e-06       65
features.4                       141    -0.277386 4.126830e-07 3.328014e-07       65
features.16                      102    -0.272629 7.766666e-07 2.123642e-08      329
features.4                       137    -0.263007 3.901622e-07 2.948092e-07       65
features.4                        39    -0.262647 4.043205e-07 5.642358e-07       65
features.16                      870    -0.252171 7.289034e-07 2.784358e-07      329
features.4                        44    -0.249794 3.748189e-07 3.582122e-07       65
features.4                        92    -0.247527 3.696160e-07 3.218641e-07       65
features.4                        35    -0.243901 3.596695e-07 2.339169e-07       65
features.4                        96    -0.241237 3.620466e-07 3.471810e-07       65
features.6                       104    -0.241119 1.962717e-08 6.003829e-07       73
features.4                       105    -0.240944 3.509687e-07 1.513661e-07       65
features.4                        45    -0.240243 3.788922e-07 6.825256e-07       65
features.4                        67    -0.240235 3.630930e-07 3.925723e-07       65
features.4                        15    -0.232305 3.559998e-07 4.694670e-07       65
features.16                      498    -0.231900 6.671977e-07 1.794431e-07      329
features.4                        22    -0.228576 5.216469e-07 3.609092e-06       65
features.4                        66    -0.226227 3.320303e-07 1.880167e-07       65
features.15                      531    -0.220968 1.939417e-07 2.112318e-07      329
features.4                       139    -0.220491 3.233393e-07 1.782584e-07       65
features.4                        27    -0.217950 3.579640e-07 8.805336e-07       65
features.15                      696    -0.214963 1.910424e-07 3.815364e-07      329
features.6                        59    -0.214621 1.750250e-08 8.823690e-07       73
features.6                        70    -0.212836 1.728887e-08 1.407446e-07       73
features.6                        88    -0.212348 1.731309e-08 8.297334e-07       73
features.15                       18    -0.211833 1.838957e-07 5.192213e-08      329
features.15                      449    -0.211098 1.912997e-07 6.487704e-07      329
features.16                      690    -0.210265 6.016749e-07 8.208263e-08      329
features.4                        29    -0.209919 3.101249e-07 2.117323e-07       65
features.15                      401    -0.209714 1.816115e-07 1.836545e-08      329
features.4                        89    -0.206908 3.225045e-07 5.177740e-07       65
features.15                      450    -0.204589 1.913030e-07 1.066883e-06      329
features.4                        74    -0.202822 2.943531e-07 1.074731e-07       65
features.16                      822    -0.201461 5.743923e-07 2.725978e-08      329
features.16                      761    -0.201351 5.748827e-07 4.701347e-08      329
features.15                      581    -0.200498 1.896142e-07 1.204174e-06      329
features.6                        22    -0.181709 1.476115e-08 1.288134e-07       73
features.16                      666    -0.180678 5.219376e-07 1.917854e-07      329
features.4                        90    -0.176224 2.610781e-07 1.912152e-07       65
features.16                      924    -0.176020 5.030712e-07 5.364931e-08      329
features.4                       104    -0.175860 2.745452e-07 4.480476e-07       65
features.16                      547    -0.175756 5.046404e-07 1.107718e-07      329
features.16                      919    -0.174216 5.011880e-07 1.336347e-07      329
features.16                      310    -0.172770 4.916479e-07 1.953061e-10      329
features.4                       125    -0.172375 3.024390e-07 1.051376e-06       65
features.4                       134    -0.168412 2.589361e-07 3.559529e-07       65
features.4                        52    -0.167690 2.418539e-07 6.108427e-08       65
features.16                      729    -0.167608 4.800428e-07 7.605494e-08      329
features.6                       178    -0.167503 1.363448e-08 4.139032e-07       73
features.16                      273    -0.165115 4.711878e-07 3.275273e-08      329
features.6                        74    -0.164866 1.339208e-08 1.079082e-07       73
features.16                       98    -0.158053 4.512193e-07 3.587418e-08      329
features.16                      586    -0.157894 4.504425e-07 2.785095e-08      329
features.16                      668    -0.157457 4.497531e-07 4.151435e-08      329
features.16                      603    -0.156488 4.473020e-07 4.902940e-08      329
features.6                        93    -0.155284 1.260633e-08 2.161416e-08       73
features.16                      517    -0.152188 4.340905e-07 2.507173e-08      329
features.16                      662    -0.150842 4.386009e-07 2.302759e-07      329
features.16                      834    -0.150491 4.457704e-07 4.312511e-07      329
features.16                      457    -0.146817 4.272220e-07 2.320945e-07      329
features.16                       43    -0.145865 4.171354e-07 5.061442e-08      329
features.16                      131    -0.144120 4.137447e-07 8.937575e-08      329
features.4                        55    -0.143105 2.296791e-07 4.797430e-07       65
features.16                      909    -0.141569 4.035767e-07 1.775205e-08      329
features.16                      765    -0.141507 4.039262e-07 3.070896e-08      329
features.16                      281    -0.139298 4.016035e-07 1.282630e-07      329
features.4                       102    -0.138817 2.049709e-07 1.379917e-07       65
features.16                      956    -0.136745 3.926226e-07 8.601354e-08      329
features.16                      478    -0.136638 3.939815e-07 1.269621e-07      329
features.16                      201    -0.135640 3.864285e-07 1.098823e-08      329
features.4                        68    -0.135457 2.035058e-07 1.988587e-07       65
features.4                        85    -0.135206 1.988324e-07 1.195715e-07       65
features.16                      141    -0.134366 3.827163e-07 8.855889e-09      329
features.16                      701    -0.133625 3.825515e-07 5.663750e-08      329
features.16                      669    -0.133600 3.823631e-07 5.381088e-08      329
features.16                      837    -0.132953 3.785366e-07 4.936364e-09      329
features.16                      115    -0.130155 3.755924e-07 1.283888e-07      329
features.16                       61    -0.130084 3.715220e-07 3.318809e-08      329
features.16                      811    -0.129784 3.703995e-07 2.661386e-08      329
features.16                      150    -0.129274 3.680248e-07 3.874763e-09      329
features.16                      714    -0.128923 3.702784e-07 8.389407e-08      329
features.16                      758    -0.126750 3.623512e-07 4.100313e-08      329
features.16                      769    -0.126547 3.743191e-07 3.497315e-07      329
features.16                      613    -0.126144 3.604762e-07 3.732490e-08      329
features.16                       92    -0.124785 3.565803e-07 3.660499e-08      329
features.16                      394    -0.124312 3.580080e-07 1.048133e-07      329
features.16                      751    -0.122039 3.559154e-07 2.125224e-07      329
features.16                      906    -0.122035 3.487462e-07 3.641510e-08      329
features.16                      957    -0.120693 3.475499e-07 1.008938e-07      329
features.16                      384    -0.119734 3.456232e-07 1.206678e-07      329
features.16                      776    -0.119383 3.398798e-07 3.879643e-09      329
features.16                      369    -0.119370 3.410470e-07 3.354316e-08      329
features.16                       68    -0.118869 3.390476e-07 1.941616e-08      329
features.16                      396    -0.118814 3.389422e-07 2.070780e-08      329
features.16                      903    -0.117803 3.423747e-07 1.759165e-07      329
features.16                      433    -0.116803 3.443846e-07 2.954327e-07      329
features.16                      134    -0.113638 3.316622e-07 2.039573e-07      329
features.16                      607    -0.112909 3.392262e-07 4.411610e-07      329
features.16                      680    -0.112692 3.207937e-07 2.811398e-09      329
features.4                        13    -0.112605 1.673244e-07 1.313519e-07       65
features.16                      856    -0.112246 3.237415e-07 1.065318e-07      329
features.16                       12    -0.111829 3.293641e-07 2.741022e-07      329
features.16                      388    -0.111581 3.222447e-07 1.163002e-07      329
features.16                      582    -0.111386 3.250487e-07 1.989565e-07      329
features.16                      708    -0.111194 3.178233e-07 3.455695e-08      329
features.16                      533    -0.110778 3.178161e-07 6.353109e-08      329
features.4                        50    -0.110549 2.034633e-07 8.487625e-07       65
features.16                      279    -0.109986 3.188452e-07 1.443213e-07      329
features.16                      513    -0.108989 3.138087e-07 9.015440e-08      329
features.16                      534    -0.107754 3.149709e-07 2.052443e-07      329
