================================================================================
Channel Pruning Log
  iteration  : 20
  alpha      : 0.3000
  timestamp  : 2026-05-23 23:44:48
  remove_target  : 23891
  accum_removed  : 24066
  selected_channels : 90
  gamma             : 0.0010
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 725148
  model_sparsity : 68.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144         21      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384          0      345    89.8%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960          0      864    90.0%
  features.16               960         69      755    78.6%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.00) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 36          1       2.8%
  features.5                 20          1       5.0%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                 39          1       2.6%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15                96          1       1.0%
  features.16               274          1       0.4%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.16: 69채널 제거
  features.4: 21채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.4                        83    -0.678232 5.364984e-07 2.298546e-06       65
features.4                        65    -0.630720 5.043404e-07 2.884975e-06       65
features.4                       103    -0.538233 4.265983e-07 1.940233e-06       65
features.4                        62    -0.475577 4.681901e-07 1.428718e-05       65
features.4                        95    -0.381040 3.606733e-07 9.456499e-06       65
features.4                       107    -0.330109 2.555578e-07 3.517958e-07       65
features.4                        26    -0.309663 2.736099e-07 4.998131e-06       65
features.4                        19    -0.287098 2.283318e-07 1.142420e-06       65
features.4                        81    -0.276013 2.434701e-07 4.398854e-06       65
features.4                        25    -0.249158 1.921203e-07 1.596652e-07       65
features.4                        97    -0.237694 1.882856e-07 8.418691e-07       65
features.4                       122    -0.237466 1.980004e-07 2.204436e-06       65
features.4                       140    -0.220232 1.749787e-07 8.523998e-07       65
features.4                       108    -0.199477 1.534798e-07 8.200951e-08       65
features.4                       114    -0.193665 1.581295e-07 1.336337e-06       65
features.4                        73    -0.167560 1.352124e-07 9.355082e-07       65
features.4                       127    -0.162042 1.556184e-07 4.329762e-06       65
features.4                        59    -0.137159 1.599764e-07 7.557852e-06       65
features.16                      659    -0.130821 4.637447e-07 2.577531e-08      329
features.4                        48    -0.128707 1.077590e-07 1.255826e-06       65
features.16                      195    -0.121740 4.478085e-07 5.057822e-07      329
features.16                      743    -0.118352 4.261099e-07 2.179814e-07      329
features.16                      823    -0.117196 4.150182e-07 1.038210e-08      329
features.16                      794    -0.114525 4.162100e-07 3.259095e-07      329
features.16                      553    -0.108436 3.837094e-07 1.100416e-09      329
features.4                         5    -0.107491 8.588651e-08 4.825712e-07       65
features.16                      119    -0.106893 3.784057e-07 5.687934e-09      329
features.16                      335    -0.103651 3.670243e-07 8.384187e-09      329
features.16                      925    -0.101457 3.623903e-07 1.011601e-07      329
features.16                      777    -0.100784 3.570546e-07 1.351223e-08      329
features.16                      683    -0.100368 3.744570e-07 5.730182e-07      329
features.4                         1    -0.100347 9.811839e-08 2.922322e-06       65
features.16                      181    -0.100011 3.629378e-07 2.690036e-07      329
features.16                      464    -0.099502 3.561842e-07 1.222189e-07      329
features.16                      657    -0.099054 3.528591e-07 7.064761e-08      329
features.16                      704    -0.097624 3.507092e-07 1.568427e-07      329
features.16                      343    -0.097076 3.439949e-07 1.532185e-08      329
features.16                      373    -0.096979 3.459538e-07 8.355241e-08      329
features.16                      183    -0.096933 3.434093e-07 1.293525e-08      329
features.16                      849    -0.096697 3.426653e-07 1.568364e-08      329
features.16                      112    -0.095666 3.386321e-07 4.254766e-09      329
features.16                      543    -0.095557 3.401529e-07 6.079001e-08      329
features.16                      192    -0.094230 3.339203e-07 1.519327e-08      329
features.16                      874    -0.094151 3.339629e-07 2.474937e-08      329
features.16                      316    -0.093705 3.374654e-07 1.753076e-07      329
features.16                      752    -0.090189 3.208116e-07 5.040956e-08      329
features.16                      581    -0.089235 3.162046e-07 1.399902e-08      329
features.16                      945    -0.086092 3.165472e-07 3.537410e-07      329
features.16                      545    -0.085699 3.180041e-07 4.381249e-07      329
features.16                      663    -0.085089 3.027488e-07 4.996675e-08      329
features.16                      251    -0.084786 3.182114e-07 5.400279e-07      329
features.16                      737    -0.083450 2.973268e-07 6.108982e-08      329
features.16                      145    -0.083229 2.982660e-07 1.121430e-07      329
features.16                      397    -0.082900 3.192983e-07 7.700227e-07      329
features.16                      805    -0.082615 3.013013e-07 2.664466e-07      329
features.16                      407    -0.082326 2.927380e-07 4.295371e-08      329
features.16                      548    -0.082066 2.919030e-07 4.552039e-08      329
features.16                      414    -0.081710 2.891609e-07 1.504386e-09      329
features.16                      800    -0.081613 2.913665e-07 7.709045e-08      329
features.16                      249    -0.080898 2.905969e-07 1.292506e-07      329
features.16                      735    -0.080850 3.003500e-07 4.233835e-07      329
features.16                      393    -0.080246 2.844053e-07 1.413651e-08      329
features.16                       39    -0.079757 2.839594e-07 5.218368e-08      329
features.16                      826    -0.079622 2.868300e-07 1.514521e-07      329
features.16                      900    -0.079286 2.844443e-07 1.159796e-07      329
features.16                      438    -0.079172 2.813927e-07 3.743639e-08      329
features.16                      876    -0.078881 2.801371e-07 3.071525e-08      329
features.16                      306    -0.078595 2.850647e-07 2.068451e-07      329
features.16                      628    -0.078336 2.854390e-07 2.450828e-07      329
features.16                      515    -0.078287 2.794680e-07 7.318373e-08      329
features.16                      570    -0.078154 2.800770e-07 1.051827e-07      329
features.16                      285    -0.078041 2.827501e-07 1.962997e-07      329
features.16                       81    -0.077772 2.752664e-07 2.667154e-09      329
features.16                      121    -0.076780 2.781093e-07 1.909712e-07      329
features.16                       15    -0.076198 2.796567e-07 2.978622e-07      329
features.16                      516    -0.075560 2.702549e-07 8.618845e-08      329
features.16                      577    -0.074941 2.653144e-07 4.633680e-09      329
features.16                       55    -0.074376 2.695838e-07 1.903759e-07      329
features.16                      428    -0.074101 3.400097e-07 2.306664e-06      329
features.16                      113    -0.074008 2.621479e-07 8.631797e-09      329
features.16                      567    -0.073564 2.705052e-07 3.029112e-07      329
features.16                      634    -0.073523 2.820015e-07 6.479293e-07      329
features.16                      572    -0.073450 2.599405e-07 1.746926e-09      329
features.16                       29    -0.073287 2.631273e-07 1.132119e-07      329
features.16                      190    -0.072821 2.593906e-07 5.136634e-08      329
features.16                      204    -0.071873 2.560320e-07 5.121350e-08      329
features.16                      346    -0.071854 2.630301e-07 2.606823e-07      329
features.16                      620    -0.071824 2.579168e-07 1.122642e-07      329
features.16                      644    -0.071683 2.576616e-07 1.194345e-07      329
features.16                      894    -0.071553 2.890623e-07 1.063846e-06      329
