================================================================================
Channel Pruning Log
  iteration  : 21
  alpha      : 0.3000
  timestamp  : 2026-05-24 00:57:21
  remove_target  : 21484
  accum_removed  : 21714
  selected_channels : 66
  gamma             : 0.0010
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 703434
  model_sparsity : 69.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384          0      345    89.8%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960          0      864    90.0%
  features.16               960         66      821    85.5%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.00) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 15          1       6.7%
  features.5                 20          1       5.0%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                 39          1       2.6%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15                96          1       1.0%
  features.16               205          1       0.5%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.16: 66채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.16                      891    -0.112180 4.808020e-07 1.133724e-07      329
features.16                      785    -0.090735 3.862241e-07 1.908827e-08      329
features.16                      637    -0.090050 3.857485e-07 8.540031e-08      329
features.16                      858    -0.087514 3.777592e-07 1.612620e-07      329
features.16                      560    -0.085404 3.629857e-07 3.135852e-09      329
features.16                      723    -0.084617 4.516639e-07 2.509246e-06      329
features.16                      500    -0.083321 3.588950e-07 1.326984e-07      329
features.16                      710    -0.080167 3.942424e-07 1.460349e-06      329
features.16                      278    -0.078980 3.369869e-07 3.834408e-08      329
features.16                      136    -0.077590 3.312626e-07 4.336110e-08      329
features.16                      277    -0.077136 3.289595e-07 3.314776e-08      329
features.16                      841    -0.076139 3.800106e-07 1.538844e-06      329
features.16                       65    -0.075646 3.463349e-07 6.788138e-07      329
features.16                      606    -0.074867 3.185117e-07 1.114378e-08      329
features.16                      448    -0.074212 3.157835e-07 1.267657e-08      329
features.16                      749    -0.073626 3.129841e-07 4.238474e-09      329
features.16                      624    -0.072645 3.129030e-07 1.154804e-07      329
features.16                      446    -0.071290 3.074049e-07 1.225620e-07      329
features.16                      926    -0.071152 3.074021e-07 1.385110e-07      329
features.16                      686    -0.069803 2.985109e-07 5.244793e-08      329
features.16                      257    -0.069702 2.968756e-07 1.954108e-08      329
features.16                      843    -0.069140 3.348081e-07 1.117674e-06      329
features.16                      440    -0.068209 3.129046e-07 6.288895e-07      329
features.16                      467    -0.068201 3.050328e-07 4.154352e-07      329
features.16                       82    -0.067949 2.914508e-07 7.475580e-08      329
features.16                       42    -0.066809 2.843884e-07 1.424122e-08      329
features.16                      540    -0.066266 2.821435e-07 1.602455e-08      329
features.16                       24    -0.066166 3.083031e-07 7.400092e-07      329
features.16                      631    -0.065824 2.849831e-07 1.444904e-07      329
features.16                       85    -0.064563 2.749391e-07 1.678043e-08      329
features.16                      276    -0.064016 2.747960e-07 7.620613e-08      329
features.16                      363    -0.063315 2.712174e-07 5.990920e-08      329
features.16                      208    -0.062813 2.679641e-07 2.937571e-08      329
features.16                      836    -0.062502 3.008714e-07 9.615176e-07      329
features.16                      580    -0.062192 2.676116e-07 9.164841e-08      329
features.16                      238    -0.062096 2.658836e-07 5.572713e-08      329
features.16                      367    -0.061450 2.752666e-07 3.859311e-07      329
features.16                      625    -0.061016 2.622413e-07 8.143325e-08      329
features.16                      646    -0.060655 2.802402e-07 6.134036e-07      329
features.16                      887    -0.060634 3.296042e-07 1.960231e-06      329
features.16                      647    -0.060547 2.581822e-07 2.523275e-08      329
features.16                      109    -0.060295 2.566556e-07 1.279064e-08      329
features.16                      832    -0.059613 2.598060e-07 1.774440e-07      329
features.16                      725    -0.059596 2.729562e-07 5.375942e-07      329
features.16                       87    -0.059396 2.530390e-07 1.834323e-08      329
features.16                      688    -0.059209 2.558826e-07 1.173609e-07      329
features.16                        6    -0.058957 2.554600e-07 1.350712e-07      329
features.16                      239    -0.058424 2.486315e-07 1.076986e-08      329
features.16                      844    -0.057753 2.924137e-07 1.280772e-06      329
features.16                      564    -0.057751 2.612625e-07 4.325908e-07      329
features.16                      425    -0.057343 2.556560e-07 3.271680e-07      329
features.16                      263    -0.056967 2.427739e-07 1.981095e-08      329
features.16                      702    -0.055155 2.760153e-07 1.134748e-06      329
features.16                      905    -0.055102 2.345958e-07 1.293334e-08      329
features.16                      757    -0.055091 2.431743e-07 2.478238e-07      329
features.16                      480    -0.054964 2.379573e-07 1.204318e-07      329
features.16                      920    -0.054846 2.333115e-07 7.510654e-09      329
features.16                      705    -0.054515 2.400346e-07 2.289087e-07      329
features.16                      612    -0.054383 2.590918e-07 7.632007e-07      329
features.16                      370    -0.053828 2.308726e-07 5.892942e-08      329
features.16                      443    -0.053422 2.622741e-07 9.611285e-07      329
features.16                      421    -0.053383 2.298157e-07 8.157393e-08      329
features.16                      108    -0.053230 2.486966e-07 6.135643e-07      329
features.16                      166    -0.053097 2.283269e-07 7.415495e-08      329
features.16                      133    -0.052034 2.273008e-07 1.692616e-07      329
features.16                       18    -0.052010 2.264997e-07 1.501868e-07      329
