================================================================================
Channel Pruning Log
  iteration  : 15
  alpha      : 0.3000
  timestamp  : 2026-05-22 10:47:45
  remove_target  : 40607
  accum_removed  : 40871
  selected_channels : 143
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 875502
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          4      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          4      152    79.2%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         12      109    28.4%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384         11      245    63.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960         50      750    78.1%
  features.16               960         62      566    59.0%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 19          1       5.3%
  features.4                 15          1       6.7%
  features.5                 44          1       2.3%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                287          2       0.7%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11               150          1       0.7%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15               260          2       0.8%
  features.16               456          3       0.7%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.11: 11채널 제거
  features.15: 50채널 제거
  features.16: 62채널 제거
  features.3: 4채널 제거
  features.5: 4채널 제거
  features.8: 12채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.3                        73    -0.283519 2.077235e-08 1.226781e-05       57
features.3                        50    -0.260451 1.862836e-08 1.779409e-06       57
features.5                       124    -0.232632 4.308602e-08 2.200940e-07       73
features.5                       166    -0.210952 3.905070e-08 1.841396e-07       73
features.15                      745    -0.207368 2.061795e-07 1.643558e-08      329
features.16                      132    -0.207038 5.113479e-07 7.842095e-08      329
features.16                      364    -0.202578 4.963408e-07 4.196315e-08      329
features.16                      867    -0.200507 4.882037e-07 1.484634e-08      329
features.15                      599    -0.199111 2.034965e-07 1.750127e-07      329
features.5                         2    -0.198403 3.793971e-08 1.114508e-06       73
features.8                       124    -0.197283 1.773958e-07 3.906720e-08      137
features.15                       20    -0.196706 1.984859e-07 9.934800e-08      329
features.3                        32    -0.195919 1.397231e-08 4.920350e-07       57
features.16                      196    -0.194107 4.735274e-07 2.228634e-08      329
features.16                      563    -0.193876 4.716729e-07 1.101338e-08      329
features.15                      346    -0.193483 1.931802e-07 3.855859e-08      329
