================================================================================
Channel Pruning Log
  iteration  : 19
  alpha      : 0.3000
  timestamp  : 2026-05-22 15:38:47
  remove_target  : 26576
  accum_removed  : 26872
  selected_channels : 120
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 749188
  model_sparsity : 67.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         54      263    68.5%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384         14      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960          0      864    90.0%
  features.16               960         52      716    74.6%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 15          1       6.7%
  features.5                 20          1       5.0%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                175          1       0.6%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                53          1       1.9%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15                96          1       1.0%
  features.16               296          2       0.7%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.11: 14채널 제거
  features.16: 52채널 제거
  features.8: 54채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.11                      264    -0.104972 3.726067e-07 6.966561e-07      169
features.11                       40    -0.100708 3.532454e-07 3.830129e-07      169
features.8                       304    -0.092518 1.135920e-07 1.786434e-08      137
features.11                      295    -0.091670 3.466957e-07 2.047018e-06      169
features.11                      317    -0.089461 5.142329e-07 1.387479e-05      169
features.11                      365    -0.088751 3.186809e-07 8.355616e-07      169
features.8                        58    -0.088202 1.094032e-07 8.598468e-08      137
features.8                       379    -0.088121 1.099711e-07 1.274263e-07      137
features.8                       163    -0.087767 1.084525e-07 6.002884e-08      137
features.8                       310    -0.084215 1.093803e-07 3.877970e-07      137
features.16                      752    -0.084187 5.073349e-07 1.113607e-07      329
features.8                       342    -0.083256 1.046238e-07 1.653306e-07      137
features.16                       42    -0.082336 4.831223e-07 2.179689e-08      329
features.11                      228    -0.081817 2.932984e-07 7.375626e-07      169
features.11                      133    -0.081578 3.208769e-07 2.655479e-06      169
features.8                       358    -0.080497 1.006247e-07 1.268406e-07      137
features.8                       294    -0.078001 1.070524e-07 7.158463e-07      137
features.16                      951    -0.077709 4.567749e-07 2.592733e-08      329
