================================================================================
Channel Pruning Log
  iteration  : 21
  alpha      : 0.3000
  timestamp  : 2026-05-22 18:05:09
  remove_target  : 21495
  accum_removed  : 21575
  selected_channels : 79
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 703683
  model_sparsity : 69.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         23      343    89.3%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960          0      864    90.0%
  features.16               960         56      821    85.5%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 15          1       6.7%
  features.5                 20          1       5.0%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                 64          1       1.6%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15                96          1       1.0%
  features.16               195          1       0.5%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.16: 56채널 제거
  features.8: 23채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.16                      567    -0.066311 5.140477e-07 8.936678e-07      329
features.8                       267    -0.061812 1.135433e-07 8.337555e-07      137
features.16                      425    -0.059604 4.868583e-07 1.104536e-06      329
features.8                       134    -0.053345 1.014588e-07 1.186531e-06      137
features.16                      751    -0.052901 3.812224e-07 3.623563e-07      329
features.16                      936    -0.050145 3.933563e-07 7.320556e-07      329
features.16                      836    -0.048598 4.456101e-07 1.491343e-06      329
features.16                      843    -0.047231 5.533998e-07 2.910549e-06      329
features.16                      446    -0.046913 3.420936e-07 3.702221e-07      329
features.8                       277    -0.046756 8.458347e-08 4.550236e-07      137
features.8                        62    -0.046172 8.244324e-08 3.034770e-07      137
features.16                       18    -0.045606 3.192726e-07 1.985063e-07      329
features.8                        64    -0.045560 8.449101e-08 7.224050e-07      137
features.16                      683    -0.043836 3.779330e-07 1.053589e-06      329
features.16                      903    -0.043010 3.117847e-07 3.170055e-07      329
features.16                      384    -0.042550 3.723211e-07 1.089218e-06      329
features.16                      608    -0.041994 2.833898e-07 5.409792e-08      329
features.16                      945    -0.040571 3.182424e-07 5.921085e-07      329
