================================================================================
Channel Pruning Log
  iteration  : 13
  alpha      : 0.3000
  timestamp  : 2026-05-21 05:09:24
  remove_target  : 50107
  accum_removed  : 50457
  selected_channels : 113
  gamma             : 0.0100
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 960921
  model_sparsity : 58.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      126    87.5%
  features.4                144          0      129    89.6%
  features.5                192          9      172    89.6%
  features.6                192          1      103    53.6%
  features.7                192          0      172    89.6%
  features.8                384          1      190    49.5%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          1      503    87.3%
  features.14               576          0      518    89.9%
  features.15               960          0      510    53.1%
  features.16               960          0      626    65.2%
  features.17               960        101      767    79.9%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 18          1       5.6%
  features.4                 15          1       6.7%
  features.5                 29          1       3.4%
  features.6                 90          1       1.1%
  features.7                 20          1       5.0%
  features.8                195          2       1.0%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                74          1       1.4%
  features.14                58          1       1.7%
  features.15               450          5       1.1%
  features.16               334          4       1.2%
  features.17               294          3       1.0%

[ 블록별 제거 채널 수 ]
  features.13: 1채널 제거
  features.17: 101채널 제거
  features.5: 9채널 제거
  features.6: 1채널 제거
  features.8: 1채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.17                      428    -0.697670 1.884187e-06 6.255918e-09      489
features.6                       119    -0.659979 2.050681e-07 5.356218e-06       73
features.5                        39    -0.612740 4.205808e-08 5.769300e-07       73
features.5                       184    -0.569024 3.905026e-08 5.313929e-07       73
features.17                      929    -0.550779 1.489123e-06 6.578552e-09      489
features.17                      538    -0.544291 1.468661e-06 3.586012e-09      489
features.5                        70    -0.532306 3.828641e-08 1.567444e-06       73
features.17                       16    -0.514687 1.436217e-06 5.072465e-08      489
features.13                      239    -0.493933 2.998037e-07 1.357293e-05      201
features.17                       13    -0.475661 1.284655e-06 4.310791e-09      489
features.17                      162    -0.461972 1.248122e-06 4.623171e-09      489
features.17                      356    -0.442378 1.196033e-06 5.274790e-09      489
features.17                      103    -0.434536 1.195674e-06 2.597744e-08      489
features.17                      208    -0.424489 1.163618e-06 2.097545e-08      489
features.17                      696    -0.418936 1.145148e-06 1.746059e-08      489
features.17                      769    -0.416391 1.142974e-06 2.212744e-08      489
features.17                      281    -0.406898 1.172725e-06 7.730922e-08      489
