================================================================================
Channel Pruning Log
  iteration  : 15
  alpha      : 0.3000
  timestamp  : 2026-05-21 07:35:18
  remove_target  : 40509
  accum_removed  : 40835
  selected_channels : 187
  gamma             : 0.0100
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 874564
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          3      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192         36      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         68      258    67.2%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960         51      561    58.4%
  features.16               960         14      640    66.7%
  features.17               960         15      864    90.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 18          1       5.6%
  features.4                 15          1       6.7%
  features.5                 20          1       5.0%
  features.6                 56          1       1.8%
  features.7                 20          1       5.0%
  features.8                194          2       1.0%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15               450          5       1.1%
  features.16               334          4       1.2%
  features.17               111          2       1.8%

[ 블록별 제거 채널 수 ]
  features.15: 51채널 제거
  features.16: 14채널 제거
  features.17: 15채널 제거
  features.3: 3채널 제거
  features.6: 36채널 제거
  features.8: 68채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.17                      695    -0.641868 2.806932e-06 4.533259e-07      489
features.17                      372    -0.634080 2.573141e-06 5.939169e-08      489
features.15                      472    -0.634052 1.694525e-06 9.208548e-07      329
features.17                      148    -0.601191 2.433917e-06 4.511671e-08      489
features.17                      870    -0.594519 2.400775e-06 3.268982e-08      489
features.17                      235    -0.518133 2.141143e-06 1.234497e-07      489
features.17                      554    -0.512492 2.102480e-06 9.224892e-08      489
features.17                      619    -0.512330 2.061072e-06 1.298216e-08      489
features.17                      516    -0.429421 1.728601e-06 1.296031e-08      489
features.17                      298    -0.418787 1.683856e-06 8.865003e-09      489
features.17                      628    -0.410060 1.682475e-06 7.423680e-08      489
features.17                      745    -0.407339 1.687197e-06 1.046410e-07      489
features.17                      683    -0.401573 1.627363e-06 3.324298e-08      489
features.17                      326    -0.383910 1.564111e-06 4.797365e-08      489
features.17                       21    -0.367564 1.491633e-06 3.449183e-08      489
features.17                      373    -0.366300 1.481381e-06 2.441561e-08      489
