================================================================================
Channel Pruning Log
  iteration  : 18
  alpha      : 0.3000
  timestamp  : 2026-05-21 11:14:38
  remove_target  : 29484
  accum_removed  : 29554
  selected_channels : 98
  gamma             : 0.0100
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 775591
  model_sparsity : 66.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         14      272    70.8%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960         68      840    87.5%
  features.16               960         16      656    68.3%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 15          1       6.7%
  features.5                 20          1       5.0%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                126          2       1.6%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15               188          2       1.1%
  features.16               320          4       1.2%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.15: 68채널 제거
  features.16: 16채널 제거
  features.8: 14채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.8                       164    -0.206564 1.241178e-07 1.320350e-07      137
features.15                      159    -0.206369 2.517416e-07 5.933878e-07      329
features.15                      246    -0.200105 3.734758e-07 6.677533e-06      329
features.8                       207    -0.197672 1.182974e-07 9.391524e-08      137
features.15                       58    -0.192047 2.240577e-07 7.051664e-08      329
features.15                      190    -0.191318 2.217769e-07 2.789259e-09      329
features.15                      475    -0.189934 2.216358e-07 7.177614e-08      329
features.15                      900    -0.186203 2.214234e-07 2.657066e-07      329
features.15                      785    -0.185852 2.186650e-07 1.547616e-07      329
features.15                      525    -0.184538 2.148024e-07 4.441331e-08      329
features.15                      718    -0.183964 2.211905e-07 3.770740e-07      329
features.15                      814    -0.181583 2.120050e-07 7.400358e-08      329
features.15                      958    -0.179476 2.192479e-07 5.307480e-07      329
features.15                      380    -0.179079 2.113823e-07 1.814624e-07      329
features.15                      614    -0.174193 2.081058e-07 2.940365e-07      329
features.15                      879    -0.173655 2.021798e-07 4.394442e-08      329
features.15                      197    -0.173344 2.010092e-07 5.705081e-09      329
features.15                      453    -0.171118 2.018649e-07 1.677132e-07      329
