================================================================================
Channel Pruning Log
  iteration  : 21
  alpha      : 0.3000
  timestamp  : 2026-05-21 14:54:41
  remove_target  : 21465
  accum_removed  : 21548
  selected_channels : 76
  gamma             : 0.0100
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 703409
  model_sparsity : 69.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         18      345    89.8%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960          0      864    90.0%
  features.16               960         58      821    85.5%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 15          1       6.7%
  features.5                 20          1       5.0%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                 57          1       1.8%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11                39          1       2.6%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15                96          1       1.0%
  features.16               197          2       1.0%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.16: 58채널 제거
  features.8: 18채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.8                       209    -0.122111 9.441145e-08 5.871867e-07      137
features.8                       337    -0.105526 8.266445e-08 6.325722e-07      137
features.8                       187    -0.101197 9.494824e-08 2.430175e-06      137
features.8                        58    -0.092152 6.913328e-08 1.970213e-07      137
features.8                       252    -0.089913 6.876227e-08 3.444976e-07      137
features.8                       287    -0.089424 6.847219e-08 3.523534e-07      137
features.8                       179    -0.089152 6.581438e-08 6.637909e-08      137
features.8                        69    -0.088924 7.051760e-08 6.329093e-07      137
features.16                      688    -0.087947 3.801579e-07 5.346193e-07      329
features.16                      900    -0.087778 3.723930e-07 1.224938e-07      329
features.16                      755    -0.086789 3.670573e-07 5.453144e-08      329
features.16                       18    -0.086147 3.743056e-07 6.365609e-07      329
features.8                       146    -0.085324 7.675349e-08 1.664888e-06      137
features.8                       104    -0.085194 6.688627e-08 5.280073e-07      137
features.8                       361    -0.084615 7.304246e-08 1.293511e-06      137
features.16                      145    -0.083819 3.553835e-07 1.044996e-07      329
features.8                       138    -0.082123 6.186286e-08 2.051080e-07      137
features.16                      472    -0.081556 3.506504e-07 3.857928e-07      329
