================================================================================
Channel Pruning Log
  iteration  : 15
  alpha      : 0.3000
  timestamp  : 2026-05-19 05:47:26
  remove_target  : 40552
  accum_removed  : 40810
  selected_channels : 122
  gamma             : 0.0500
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 875011
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         15      278    72.4%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384          0      345    89.8%
  features.12               576          2      460    79.9%
  features.13               576         19      495    85.9%
  features.14               576          0      518    89.9%
  features.15               960         22      700    72.9%
  features.16               960         25      682    71.0%
  features.17               960         39      769    80.1%

[ 레이어별 보호 영역 (γ=0.05) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 15          1       6.7%
  features.5                 20          1       5.0%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                121          7       5.8%
  features.9                 39          2       5.1%
  features.10                39          2       5.1%
  features.11                39          2       5.1%
  features.12               118          6       5.1%
  features.13               100          5       5.0%
  features.14                58          3       5.2%
  features.15               282         15       5.3%
  features.16               303         16       5.3%
  features.17               230         12       5.2%

[ 블록별 제거 채널 수 ]
  features.12: 2채널 제거
  features.13: 19채널 제거
  features.15: 22채널 제거
  features.16: 25채널 제거
  features.17: 39채널 제거
  features.8: 15채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.15                      337    -0.322290 9.327338e-07 5.948382e-07      329
features.13                      402    -0.199429 1.293227e-07 1.860214e-06      201
features.16                      377    -0.131625 5.302027e-07 8.979830e-10      329
features.8                       331    -0.119012 1.320756e-07 5.106354e-07      137
features.13                       26    -0.104653 5.592575e-08 2.870035e-08      201
features.8                       187    -0.101378 1.173433e-07 5.619997e-07      137
features.17                        3    -0.091153 8.641382e-07 4.066125e-08      489
features.17                      200    -0.090877 7.573313e-07 2.327436e-09      489
features.17                      316    -0.088940 7.471066e-07 4.447660e-09      489
features.17                      956    -0.088707 7.448808e-07 4.339767e-09      489
features.8                         6    -0.085484 9.424770e-08 3.505077e-07      137
features.17                      466    -0.085336 7.246855e-07 7.148187e-09      489
features.15                      812    -0.084865 2.363419e-07 5.872783e-08      329
features.8                        54    -0.083802 9.115045e-08 3.109800e-07      137
features.13                       28    -0.083702 4.482947e-08 3.086872e-08      201
features.8                        27    -0.082903 8.278139e-08 1.135424e-07      137
