================================================================================
Channel Pruning Log
  iteration  : 18
  alpha      : 0.3000
  timestamp  : 2026-05-22 14:26:02
  remove_target  : 29557
  accum_removed  : 29811
  selected_channels : 155
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 776060
  model_sparsity : 66.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          4      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         65      209    54.4%
  features.9                384          0      345    89.8%
  features.10               384          0      345    89.8%
  features.11               384         48      331    86.2%
  features.12               576          0      518    89.9%
  features.13               576          0      518    89.9%
  features.14               576          0      518    89.9%
  features.15               960         18      864    90.0%
  features.16               960         20      664    69.2%
  features.17               960          0      864    90.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 10          1      10.0%
  features.3                 15          1       6.7%
  features.4                 15          1       6.7%
  features.5                 24          1       4.2%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                240          2       0.8%
  features.9                 39          1       2.6%
  features.10                39          1       2.6%
  features.11               101          1       1.0%
  features.12                58          1       1.7%
  features.13                58          1       1.7%
  features.14                58          1       1.7%
  features.15               114          1       0.9%
  features.16               316          2       0.6%
  features.17                96          1       1.0%

[ 블록별 제거 채널 수 ]
  features.11: 48채널 제거
  features.15: 18채널 제거
  features.16: 20채널 제거
  features.5: 4채널 제거
  features.8: 65채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.16                      299    -0.366245 3.004869e-06 5.827616e-06      329
features.8                       116    -0.265235 3.853289e-07 7.560207e-06      137
features.11                      368    -0.221838 5.891078e-07 1.046257e-05      169
features.11                      184    -0.163503 3.661692e-07 2.234527e-07      169
features.15                      828    -0.153256 2.902403e-07 4.109924e-07      329
features.8                        74    -0.145367 1.552181e-07 7.420594e-08      137
features.11                      343    -0.140821 4.201219e-07 1.172262e-05      169
features.11                      347    -0.131613 3.016787e-07 9.423196e-07      169
features.8                       182    -0.130664 1.466703e-07 5.866596e-07      137
features.11                       94    -0.128632 2.959317e-07 1.040560e-06      169
features.8                       224    -0.128170 1.364748e-07 3.771214e-08      137
features.11                       26    -0.125862 2.866239e-07 6.951677e-07      169
features.15                      746    -0.124612 2.276174e-07 8.391792e-09      329
features.16                      734    -0.123870 7.616378e-07 1.595294e-08      329
features.8                       274    -0.122285 1.498575e-07 1.464577e-06      137
features.8                       333    -0.121841 1.329292e-07 2.680243e-07      137
features.11                      239    -0.116692 2.631222e-07 3.560934e-07      169
