================================================================================
Channel Pruning Log
  iteration  : 14
  alpha      : 0.3000
  timestamp  : 2026-06-03 03:09:28
  remove_target  : 45072
  accum_removed  : 45266
  selected_channels : 138
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 915759
  model_sparsity : 60.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          0      118    81.9%
  features.4                144          5      130    90.3%
  features.5                192          0      148    77.1%
  features.6                192          0      150    78.1%
  features.7                192          0      186    96.9%
  features.8                384         19      345    89.8%
  features.9                384          0      372    96.9%
  features.10               384          0      366    95.3%
  features.11               384          0      372    96.9%
  features.12               576          1      542    94.1%
  features.13               576          0      390    67.7%
  features.14               576          0      558    96.9%
  features.15               960         73      560    58.3%
  features.16               960          9      421    43.9%
  features.17               960         31      906    94.4%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  3          1      33.3%
  features.3                 26          1       3.8%
  features.4                 19          1       5.3%
  features.5                 44          1       2.3%
  features.6                 42          1       2.4%
  features.7                  6          1      16.7%
  features.8                 58          1       1.7%
  features.9                 12          1       8.3%
  features.10                18          1       5.6%
  features.11                12          1       8.3%
  features.12                35          1       2.9%
  features.13               186          1       0.5%
  features.14                18          1       5.6%
  features.15               473          3       0.6%
  features.16               548          3       0.5%
  features.17                85          1       1.2%

[ 블록별 제거 채널 수 ]
  features.12: 1채널 제거
  features.15: 73채널 제거
  features.16: 9채널 제거
  features.17: 31채널 제거
  features.4: 5채널 제거
  features.8: 19채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.17                      159    -0.693180 5.597960e-06 1.152040e-07      489
features.17                      619    -0.640334 5.160119e-06 8.304620e-08      489
features.17                      287    -0.628315 5.283876e-06 5.475089e-07      489
features.4                         1    -0.605354 2.831249e-07 1.093075e-05       65
features.15                      917    -0.568894 8.004421e-07 7.130411e-07      329
features.4                       131    -0.535766 2.501234e-07 9.101956e-06       65
features.4                       118    -0.498564 2.337709e-07 9.747007e-06       65
features.4                        26    -0.487721 2.303028e-07 1.156834e-05       65
features.17                      311    -0.476727 3.841564e-06 6.155367e-08      489
features.17                      388    -0.412680 3.320918e-06 4.368548e-08      489
features.15                      415    -0.407004 5.707071e-07 8.832106e-09      329
features.8                       375    -0.400828 1.028978e-07 7.929454e-06      137
features.15                       75    -0.398646 5.604352e-07 3.800181e-07      329
features.17                      261    -0.395950 3.338209e-06 3.628326e-07      489
features.15                        6    -0.395163 5.605024e-07 1.650421e-06      329
features.8                       318    -0.390814 7.029733e-08 7.629841e-07      137
