================================================================================
Channel Pruning Log
  iteration  : 19
  alpha      : 0.3000
  timestamp  : 2026-06-03 09:00:12
  remove_target  : 26544
  accum_removed  : 26719
  selected_channels : 103
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 749025
  model_sparsity : 67.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          0      139    96.5%
  features.4                144          0      139    96.5%
  features.5                192          8      161    83.9%
  features.6                192          2      154    80.2%
  features.7                192          0      186    96.9%
  features.8                384          0      372    96.9%
  features.9                384          0      372    96.9%
  features.10               384          0      368    95.8%
  features.11               384          0      372    96.9%
  features.12               576          2      552    95.8%
  features.13               576         34      505    87.7%
  features.14               576          0      558    96.9%
  features.15               960         44      819    85.3%
  features.16               960         13      534    55.6%
  features.17               960          0      931    97.0%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  3          1      33.3%
  features.3                  5          1      20.0%
  features.4                  5          1      20.0%
  features.5                 39          1       2.6%
  features.6                 40          1       2.5%
  features.7                  6          1      16.7%
  features.8                 12          1       8.3%
  features.9                 12          1       8.3%
  features.10                16          1       6.2%
  features.11                12          1       8.3%
  features.12                26          1       3.8%
  features.13               105          1       1.0%
  features.14                18          1       5.6%
  features.15               185          1       0.5%
  features.16               439          3       0.7%
  features.17                29          1       3.4%

[ 블록별 제거 채널 수 ]
  features.12: 2채널 제거
  features.13: 34채널 제거
  features.15: 44채널 제거
  features.16: 13채널 제거
  features.5: 8채널 제거
  features.6: 2채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.5                        50    -0.647210 1.986273e-07 2.265290e-05       73
features.15                      757    -0.488493 1.489199e-06 2.845611e-04      329
features.5                       100    -0.290415 8.371565e-08 1.979603e-06       73
features.13                      139    -0.282537 1.684896e-07 6.797225e-06      201
features.5                        76    -0.272938 9.336178e-08 2.406837e-05       73
features.13                      351    -0.264755 1.563459e-07 2.415588e-06      201
features.13                       22    -0.258114 1.515699e-07 1.609415e-07      201
features.13                      304    -0.211135 1.240261e-07 2.427968e-07      201
features.13                      197    -0.208763 1.226027e-07 1.627061e-07      201
features.13                      470    -0.202732 1.202059e-07 3.098912e-06      201
features.5                       154    -0.191974 5.931957e-08 7.328873e-06       73
features.13                      170    -0.191692 1.127623e-07 6.243803e-07      201
features.16                      911    -0.190291 1.381313e-06 1.957108e-07      329
features.12                      420    -0.180444 6.790073e-08 1.491573e-06      201
features.5                        52    -0.179647 5.291934e-08 2.939417e-06       73
features.15                      731    -0.179053 4.058007e-07 1.541075e-05      329
