================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 23
  alpha      : 0.3000
  norm       : rank
  timestamp  : 2026-08-25 18:12:52
  remove_target  : 17375
  accum_removed  : 17629
  selected_channels : 61
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 666424
  model_sparsity : 70.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       93    96.9%
  features.3                144          1      134    93.1%
  features.4                144          3      133    92.4%
  features.5                192          1      176    91.7%
  features.6                192          2      175    91.1%
  features.7                192          4      173    90.1%
  features.8                384          3      357    93.0%
  features.9                384          0      368    95.8%
  features.10               384          0      360    93.8%
  features.11               384          3      357    93.0%
  features.12               576          5      538    93.4%
  features.13               576          3      545    94.6%
  features.14               576          3      522    90.6%
  features.15               960          8      884    92.1%
  features.16               960          9      850    88.5%
  features.17               960         16      864    90.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  3          1      33.3%
  features.3                 11          1       9.1%
  features.4                 14          1       7.1%
  features.5                 17          1       5.9%
  features.6                 19          1       5.3%
  features.7                 23          1       4.3%
  features.8                 30          1       3.3%
  features.9                 16          1       6.2%
  features.10                24          1       4.2%
  features.11                30          1       3.3%
  features.12                43          1       2.3%
  features.13                34          1       2.9%
  features.14                57          1       1.8%
  features.15                84          1       1.2%
  features.16               119          1       0.8%
  features.17               112          1       0.9%

[ 블록별 제거 채널 수 ]
  features.11: 3채널 제거
  features.12: 5채널 제거
  features.13: 3채널 제거
  features.14: 3채널 제거
  features.15: 8채널 제거
  features.16: 9채널 제거
  features.17: 16채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 1채널 제거
  features.6: 2채널 제거
  features.7: 4채널 제거
  features.8: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                       82    -0.541379 1.954050e-07 1.152531e-06   0.8621   0.2069      169
features.7                       148    -0.531818 8.785921e-07 2.070466e-06   0.9545   0.4545      105
features.13                      519    -0.524242 1.989672e-08 9.288588e-08   0.8788   0.3030      201
features.17                      483    -0.507207 7.740247e-07 2.136886e-08   0.8288   0.2432      489
features.17                      923    -0.503604 6.658486e-07 9.238309e-09   0.7658   0.1081      489
features.17                      590    -0.496396 9.504949e-07 3.312394e-08   0.8829   0.4054      489
features.17                      348    -0.492793 8.078155e-07 2.798847e-08   0.8468   0.3333      489
features.15                      857    -0.485542 7.306517e-08 1.001273e-07   0.8072   0.2651      329
features.4                        98    -0.484615 2.001354e-07 2.296258e-05   0.9231   0.5385       65
features.6                        19    -0.483333 6.550026e-08 3.292481e-06   1.0000   0.7222       73
features.7                        42    -0.481818 3.636078e-07 3.862317e-07   0.7273   0.0909      105
features.5                       173    -0.481250 2.789061e-08 2.505017e-06   0.8750   0.4375       73
features.12                      201    -0.478571 3.642543e-08 6.476666e-07   0.9286   0.5714      201
features.6                        81    -0.477778 1.857505e-08 2.373085e-07   0.7778   0.2222       73
features.12                      225    -0.473810 3.682506e-08 7.314920e-07   0.9524   0.6429      201
features.15                      767    -0.472289 6.587023e-08 8.851625e-08   0.7831   0.2530      329
features.17                      270    -0.463063 5.792586e-07 6.085134e-09   0.6847   0.0541      489
features.8                       346    -0.462069 4.832173e-08 6.614444e-07   0.8966   0.5517      137
features.15                      557    -0.461446 1.104041e-07 2.588282e-07   0.8916   0.5422      329
features.4                        55    -0.453846 1.593578e-07 1.293674e-05   0.8462   0.4615       65
features.16                      845    -0.448305 9.235220e-08 1.925252e-08   0.7966   0.3644      329
features.14                      292    -0.441071 1.012875e-06 3.711348e-07   0.9286   0.6964      265
features.4                       140    -0.438462 6.601151e-08 2.107083e-06   0.6923   0.1538       65
features.17                       21    -0.437838 7.003094e-07 3.634013e-08   0.8108   0.4324      489
features.15                      171    -0.436145 5.883505e-08 1.284797e-07   0.7470   0.2892      329
features.17                      576    -0.436036 7.041496e-07 3.850805e-08   0.8198   0.4595      489
