iter,block,ch,status,score,phi_raw,perf_raw,phi_n,perf_n,weights,perf_rank_n,perf_max_n,phi_rank_n,phi_max_n,score_rank,score_rank_a0.3,score_rank_a0.5,score_rank_a0.7,score_rank_a0.9,score_max,score_max_a0.3,score_max_a0.5,score_max_a0.7,score_max_a0.9
23,features.1,0,active,0.075,0.0,0.0,0.0,0.25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,features.1,4,protected,-0.4,2.984657e-07,0.02759841,1.0,1.0,25,1.0,0.9999999999637661,1.0,0.9999966495424784,-0.39999999999999997,-0.39999999999999997,0.0,0.3999999999999999,0.8,-0.39999765469060505,-0.39999765469060505,1.6752106438699954e-06,0.4000010051118927,0.8000003350131417
23,features.1,9,active,-0.325,0.0,0.0,0.625,0.375,25,0.125,0.0,0.125,0.0,-0.049999999999999996,-0.049999999999999996,0.0,0.04999999999999999,0.1,0.0,0.0,0.0,0.0,0.0
23,features.1,13,active,-0.35,3.958992e-09,1.901157e-06,0.875,0.875,25,0.875,6.888646845710002e-05,0.875,0.013264434524856542,-0.3499999999999999,-0.3499999999999999,0.0,0.34999999999999987,0.7,-0.009264438226862449,-0.009264438226862449,-0.006597774028199721,-0.003931109829536993,-0.0012644456308742637
23,features.1,14,active,-0.35,0.0,0.0,0.5,0.0,25,0.25,0.0,0.25,0.0,-0.09999999999999999,-0.09999999999999999,0.0,0.09999999999999998,0.2,0.0,0.0,0.0,0.0,0.0
23,features.1,15,active,-0.225,0.0,0.0,0.375,0.125,25,0.375,0.0,0.375,0.0,-0.14999999999999997,-0.14999999999999997,0.0,0.14999999999999994,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
23,features.1,16,active,0.1375,0.0,8.590935e-11,0.125,0.75,25,0.75,3.112836935058475e-09,0.5,0.0,-0.125,-0.125,0.125,0.3749999999999999,0.625,9.338510805175424e-10,9.338510805175424e-10,1.5564184675292375e-09,2.178985854540932e-09,2.8015532415526276e-09
23,features.1,17,active,0.0125,0.0,1.440147e-11,0.25,0.625,25,0.625,5.218224527963089e-10,0.625,0.0,-0.25,-0.25,0.0,0.24999999999999997,0.5,1.5654673583889266e-10,1.5654673583889266e-10,2.6091122639815445e-10,3.652757169574162e-10,4.69640207516678e-10
23,features.1,23,active,-0.375,0.0,1.565771e-12,0.75,0.5,25,0.5,5.6734101708876204e-11,0.75,0.0,-0.3749999999999999,-0.3749999999999999,-0.125,0.12499999999999994,0.375,1.702023051266286e-11,1.702023051266286e-11,2.8367050854438102e-11,3.971387119621334e-11,5.1060691537988584e-11
23,features.2,66,active,0.15,1.367506e-07,0.001822485,0.0,0.5,49,0.5,0.08795675146195427,0.0,0.20137929856400624,0.15,0.15,0.25,0.35,0.45,-0.11457848355621808,-0.11457848355621808,-0.05671127355102599,0.0011559364541660969,0.05902314645935823
