================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 23
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-26 11:10:18
  remove_target  : 17379
  accum_removed  : 17522
  selected_channels : 66
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 666568
  model_sparsity : 70.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       18    56.2%
  features.2                 96          0       93    96.9%
  features.3                144          1      138    95.8%
  features.4                144          2      124    86.1%
  features.5                192          3      176    91.7%
  features.6                192          0      182    94.8%
  features.7                192          1      176    91.7%
  features.8                384          4      352    91.7%
  features.9                384          5      366    95.3%
  features.10               384          3      355    92.4%
  features.11               384          5      350    91.1%
  features.12               576          5      528    91.7%
  features.13               576          2      528    91.7%
  features.14               576          5      514    89.2%
  features.15               960         10      871    90.7%
  features.16               960          8      844    87.9%
  features.17               960         12      897    93.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 14          1       7.1%
  features.2                  3          1      33.3%
  features.3                  7          1      14.3%
  features.4                 22          1       4.5%
  features.5                 19          1       5.3%
  features.6                 10          1      10.0%
  features.7                 17          1       5.9%
  features.8                 36          1       2.8%
  features.9                 23          1       4.3%
  features.10                32          1       3.1%
  features.11                39          1       2.6%
  features.12                53          1       1.9%
  features.13                50          1       2.0%
  features.14                67          1       1.5%
  features.15                99          1       1.0%
  features.16               124          1       0.8%
  features.17                75          1       1.3%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 5채널 제거
  features.12: 5채널 제거
  features.13: 2채널 제거
  features.14: 5채널 제거
  features.15: 10채널 제거
  features.16: 8채널 제거
  features.17: 12채널 제거
  features.3: 1채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.7: 1채널 제거
  features.8: 4채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      637    -0.260204 7.141265e-08 5.497003e-08   0.6633   0.1429      329
features.3                         1    -0.250000 1.656216e-08 4.000924e-05   0.6667   0.1667       57
features.9                       207    -0.250000 5.339677e-08 2.370649e-07   0.6818   0.1818      137
features.17                      287    -0.250000 8.386785e-07 5.369779e-08   0.7703   0.2703      489
features.10                       19    -0.241935 4.056168e-08 3.486425e-08   0.7419   0.2581      137
features.11                      132    -0.236842 1.178013e-07 3.340985e-07   0.5263   0.0526      169
features.15                      140    -0.234694 5.469274e-08 2.815539e-09   0.5408   0.0714      329
features.15                      387    -0.229592 5.977029e-08 3.307302e-08   0.5816   0.1224      329
features.8                        12    -0.228571 2.462886e-08 1.504105e-07   0.5429   0.0857      137
features.16                      702    -0.219512 1.087607e-07 1.319845e-07   0.7724   0.3333      329
features.15                      142    -0.219388 1.114500e-07 2.993942e-07   0.7959   0.3571      329
features.11                      283    -0.210526 4.120967e-07 2.111223e-06   0.8684   0.4474      169
features.9                       118    -0.204545 1.143521e-07 1.927879e-06   0.9091   0.5000      137
features.9                       249    -0.204545 6.553828e-08 8.557500e-07   0.7727   0.3636      137
features.17                      414    -0.202703 1.401517e-06 6.361435e-08   0.8514   0.4459      489
features.14                      512    -0.189394 1.691073e-06 3.745805e-07   0.9394   0.5606      265
features.7                        94    -0.187500 6.908758e-07 3.611740e-06   0.6875   0.3125      105
features.8                       128    -0.185714 4.131954e-08 8.033098e-07   0.6571   0.2857      137
features.17                      526    -0.182432 6.818757e-07 6.018790e-08   0.7297   0.3649      489
features.14                      211    -0.181818 1.298471e-06 2.921629e-07   0.8636   0.5000      265
features.15                      840    -0.178571 7.591883e-08 2.760328e-07   0.6837   0.3265      329
features.10                      272    -0.177419 8.105175e-08 5.433586e-07   0.9355   0.5806      137
features.16                       38    -0.174797 1.108172e-07 1.774216e-07   0.7805   0.4309      329
features.14                      519    -0.174242 8.665854e-07 2.608346e-07   0.8030   0.4545      265
features.12                      383    -0.173077 1.256453e-08 3.407667e-08   0.5385   0.1923      201
features.8                         6    -0.171429 3.042013e-08 7.121931e-07   0.6000   0.2571      137
features.17                      454    -0.168919 5.783683e-07 5.746632e-08   0.6486   0.3108      489
features.5                        60    -0.166667 3.374853e-08 3.427410e-06   0.7778   0.4444       73
features.5                        77    -0.166667 9.200962e-09 8.637606e-07   0.4444   0.1111       73
features.12                      201    -0.163462 1.349908e-08 2.207796e-07   0.5962   0.2692      201
features.15                      208    -0.163265 1.304418e-07 4.373745e-07   0.8367   0.5102      329
features.16                      251    -0.162602 9.495054e-08 1.426399e-07   0.6992   0.3740      329
features.14                      547    -0.159091 7.405398e-07 2.520355e-07   0.7576   0.4394      265
