================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 23
  alpha      : 0.7000
  norm       : rank
  timestamp  : 2026-08-26 11:44:56
  remove_target  : 17384
  accum_removed  : 17423
  selected_channels : 71
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 666723
  model_sparsity : 70.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          3       23    71.9%
  features.2                 96          0       93    96.9%
  features.3                144          0      139    96.5%
  features.4                144          0      139    96.5%
  features.5                192          1      183    95.3%
  features.6                192          3      178    92.7%
  features.7                192          3      172    89.6%
  features.8                384          4      367    95.6%
  features.9                384          4      341    88.8%
  features.10               384          4      358    93.2%
  features.11               384          3      372    96.9%
  features.12               576          4      504    87.5%
  features.13               576          5      490    85.1%
  features.14               576          8      482    83.7%
  features.15               960         12      889    92.6%
  features.16               960         10      866    90.2%
  features.17               960          7      905    94.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 12          1       8.3%
  features.2                  3          1      33.3%
  features.3                  5          1      20.0%
  features.4                  5          1      20.0%
  features.5                 10          1      10.0%
  features.6                 17          1       5.9%
  features.7                 23          1       4.3%
  features.8                 21          1       4.8%
  features.9                 47          1       2.1%
  features.10                30          1       3.3%
  features.11                15          1       6.7%
  features.12                76          1       1.3%
  features.13                91          1       1.1%
  features.14               102          1       1.0%
  features.15                83          1       1.2%
  features.16               104          1       1.0%
  features.17                62          1       1.6%

[ 블록별 제거 채널 수 ]
  features.1: 3채널 제거
  features.10: 4채널 제거
  features.11: 3채널 제거
  features.12: 4채널 제거
  features.13: 5채널 제거
  features.14: 8채널 제거
  features.15: 12채널 제거
  features.16: 10채널 제거
  features.17: 7채널 제거
  features.5: 1채널 제거
  features.6: 3채널 제거
  features.7: 3채널 제거
  features.8: 4채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      176    -0.157143 8.716837e-07 2.143082e-05   0.8571   0.1429      169
features.17                      116    -0.121311 5.200820e-07 3.996699e-08   0.4426   0.0164      489
features.17                      604    -0.114754 1.224001e-06 4.793701e-08   0.6885   0.1311      489
features.11                      207    -0.107143 2.464388e-07 1.154788e-05   0.3571   0.0000      169
features.8                       136    -0.105000 1.162142e-07 1.743893e-06   0.7000   0.1500      137
features.16                      675    -0.098058 1.159284e-06 1.502126e-07   0.9612   0.2718      329
features.8                       328    -0.095000 1.581506e-07 2.023203e-06   0.9000   0.2500      137
features.15                       26    -0.089024 5.568067e-07 2.690256e-07   0.9512   0.2805      329
features.6                        50    -0.081250 3.358871e-08 2.340739e-06   0.5625   0.1250       73
features.9                       225    -0.078261 5.348996e-08 1.584910e-07   0.7174   0.1957      137
features.7                        19    -0.077273 1.064698e-06 1.116777e-06   0.6818   0.1818      105
features.9                        11    -0.067391 7.422005e-08 2.112641e-07   0.7826   0.2391      137
features.15                       89    -0.065854 1.459997e-07 2.340770e-07   0.7317   0.2195      329
features.15                      162    -0.064634 4.902682e-07 2.824283e-07   0.9268   0.3049      329
features.17                      787    -0.063934 1.964185e-06 5.802205e-08   0.7869   0.2459      489
features.16                      805    -0.061165 1.159874e-07 1.181530e-07   0.5437   0.1456      329
features.17                      419    -0.059016 3.995794e-07 4.397141e-08   0.3115   0.0492      489
features.13                      451    -0.056667 2.010922e-08 1.876527e-07   0.5778   0.1667      201
features.16                      935    -0.056311 8.822520e-08 1.132516e-07   0.5049   0.1359      329
features.16                      429    -0.055340 4.425908e-07 1.472341e-07   0.7282   0.2330      329
features.15                      552    -0.054878 5.884945e-08 1.551365e-07   0.4390   0.1098      329
features.14                      416    -0.053465 4.258928e-07 7.710345e-08   0.6634   0.2079      265
features.1                         8    -0.045455 2.122190e-07 1.364671e-05   1.0000   0.3636       25
features.8                       113    -0.045000 2.847046e-08 9.784137e-07   0.1500   0.0000      137
features.10                      361    -0.044828 6.286594e-08 2.810306e-07   0.5517   0.1724      137
features.15                      524    -0.043902 3.401314e-08 1.326227e-07   0.2317   0.0366      329
features.6                        12    -0.043750 1.140243e-07 3.985790e-06   0.8750   0.3125       73
features.14                      497    -0.043564 2.602362e-07 5.768252e-08   0.4455   0.1287      265
features.15                      374    -0.042683 1.268442e-07 2.437552e-07   0.6829   0.2317      329
features.1                         1    -0.036364 1.181751e-08 5.144807e-06   0.5455   0.1818       25
features.11                      338    -0.035714 2.322600e-07 1.805581e-05   0.2857   0.0714      169
features.15                       70    -0.035366 4.615116e-07 2.896977e-07   0.9146   0.3415      329
features.10                      237    -0.034483 2.130250e-07 8.865878e-07   1.0000   0.3793      137
features.13                      186    -0.033333 4.898102e-08 2.838919e-07   0.8111   0.3000      201
features.5                        75    -0.033333 8.492190e-09 4.988544e-06   0.1111   0.0000       73
features.12                      128    -0.032000 1.089641e-07 4.797421e-07   0.9467   0.3600      201
features.15                      896    -0.031707 8.435295e-07 2.946601e-07   0.9878   0.3780      329
features.16                       21    -0.031068 3.304436e-08 5.780880e-08   0.2621   0.0680      329
features.14                      181    -0.029703 3.103706e-07 7.062603e-08   0.5149   0.1782      265
features.16                      115    -0.028155 7.346827e-07 1.653078e-07   0.8641   0.3301      329
features.12                      256    -0.028000 3.424073e-08 3.347145e-07   0.6533   0.2400      201
features.7                        53    -0.027273 3.312789e-07 1.052178e-06   0.4091   0.1364      105
features.8                       248    -0.025000 3.261672e-08 1.013248e-06   0.2000   0.0500      137
features.14                      168    -0.024752 4.353073e-07 8.462000e-08   0.6832   0.2574      265
features.14                       50    -0.024752 2.750235e-07 6.157514e-08   0.4752   0.1683      265
features.13                      500    -0.024444 1.142427e-08 1.241134e-07   0.3667   0.1222      201
features.15                      294    -0.024390 2.268771e-08 1.016093e-07   0.1098   0.0122      329
features.16                      673    -0.023301 4.411134e-08 1.056779e-07   0.3495   0.1165      329
features.17                      864    -0.019672 5.001219e-07 4.849359e-08   0.4098   0.1475      489
features.16                      636    -0.019417 2.018240e-07 1.480173e-07   0.6311   0.2427      329
features.17                       43    -0.016393 7.492594e-07 5.798097e-08   0.5902   0.2295      489
features.7                       141    -0.013636 2.644310e-08 1.767580e-07   0.0455   0.0000      105
features.16                       56    -0.013592 6.119551e-08 1.203027e-07   0.4078   0.1553      329
features.12                      254    -0.013333 5.557240e-08 3.953942e-07   0.7600   0.3067      201
features.14                      219    -0.007921 6.081227e-08 8.146401e-09   0.1188   0.0396      265
features.10                      205    -0.006897 6.461418e-09 1.778850e-08   0.1034   0.0345      137
features.13                      367    -0.006667 1.101013e-07 3.585795e-07   0.9556   0.4000      201
features.17                      786    -0.006557 1.596934e-07 4.235609e-08   0.0984   0.0328      489
features.15                      355    -0.004878 1.015826e-07 2.463958e-07   0.5854   0.2439      329
features.9                       356    -0.004348 1.598020e-08 1.510052e-07   0.3696   0.1522      137
features.15                      604    -0.003659 2.972888e-08 1.440946e-07   0.1829   0.0732      329
features.14                      202    -0.000990 2.032815e-07 5.801669e-08   0.3267   0.1386      265
features.1                        13     0.000000 1.310219e-09 2.248711e-07   0.0000   0.0000       25
features.6                       138     0.000000 1.339870e-09 2.593978e-07   0.0000   0.0000       73
features.9                       266     0.000000 0.000000e+00 0.000000e+00   0.0000   0.0000      137
features.10                      149     0.000000 0.000000e+00 1.187824e-14   0.0000   0.0000      137
features.12                      163     0.000000 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.13                      544     0.000000 0.000000e+00 0.000000e+00   0.0000   0.0000      201
features.14                      543     0.000000 0.000000e+00 0.000000e+00   0.0000   0.0000      265
features.15                      691     0.000000 2.178002e-09 9.491305e-08   0.0000   0.0000      329
features.16                      814     0.000000 0.000000e+00 0.000000e+00   0.0000   0.0000      329
