================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 2
  alpha      : 0.3000
  norm       : rank
  timestamp  : 2026-08-25 17:27:45
  remove_target  : 43368
  accum_removed  : 43403
  selected_channels : 219
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2104332
  model_sparsity : 4.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        0     0.0%
  features.2                 96          3        5     5.2%
  features.3                144          3        6     4.2%
  features.4                144          2        3     2.1%
  features.5                192         12       21    10.9%
  features.6                192          8       22    11.5%
  features.7                192          0        2     1.0%
  features.8                384         30       59    15.4%
  features.9                384         18       45    11.7%
  features.10               384         19       38     9.9%
  features.11               384          9       28     7.3%
  features.12               576         34       65    11.3%
  features.13               576         19       38     6.6%
  features.14               576          4        8     1.4%
  features.15               960         41       80     8.3%
  features.16               960         17       32     3.3%
  features.17               960          0        0     0.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 94          1       1.1%
  features.3                141          1       0.7%
  features.4                143          1       0.7%
  features.5                183          1       0.5%
  features.6                178          1       0.6%
  features.7                190          1       0.5%
  features.8                355          2       0.6%
  features.9                357          2       0.6%
  features.10               365          2       0.5%
  features.11               365          2       0.5%
  features.12               545          3       0.6%
  features.13               557          3       0.5%
  features.14               572          3       0.5%
  features.15               921          5       0.5%
  features.16               945          5       0.5%
  features.17               960          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 19채널 제거
  features.11: 9채널 제거
  features.12: 34채널 제거
  features.13: 19채널 제거
  features.14: 4채널 제거
  features.15: 41채널 제거
  features.16: 17채널 제거
  features.2: 3채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 12채널 제거
  features.6: 8채널 제거
  features.8: 30채널 제거
  features.9: 18채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       139    -0.671186 5.627862e-07 1.059796e-07   0.9915   0.0763      137
features.12                      272    -0.670772 3.513789e-07 6.704460e-08   0.9835   0.0588      201
features.8                       360    -0.670057 6.766663e-07 1.273594e-07   0.9972   0.0932      137
features.12                      150    -0.669853 3.521123e-07 7.202185e-08   0.9853   0.0662      201
features.12                      339    -0.657537 2.748478e-07 6.547272e-08   0.9614   0.0515      201
features.11                      174    -0.656044 5.442564e-07 2.158904e-07   0.9560   0.0440      169
features.8                       170    -0.648588 2.523210e-07 9.631673e-08   0.9520   0.0593      137
features.8                        36    -0.647175 2.215006e-07 8.896190e-08   0.9463   0.0508      137
features.12                      516    -0.646875 2.306703e-07 4.426607e-08   0.9375   0.0312      201
features.6                       126    -0.645198 1.055217e-07 2.940291e-07   0.9435   0.0508       73
features.10                       29    -0.642582 3.027103e-07 8.518265e-08   0.9615   0.1016      137
features.8                        72    -0.642090 2.848319e-07 1.189105e-07   0.9548   0.0876      137
features.5                        72    -0.639011 9.769253e-08 1.198368e-07   0.9176   0.0110       73
features.12                      203    -0.638419 2.225354e-07 5.741045e-08   0.9301   0.0423      201
features.13                      536    -0.638309 2.058244e-07 6.880627e-08   0.9496   0.0881      201
features.8                       217    -0.638136 2.168482e-07 1.036441e-07   0.9407   0.0678      137
features.8                        33    -0.636441 2.070047e-07 9.019568e-08   0.9322   0.0537      137
features.13                      171    -0.635611 2.782328e-07 1.039030e-07   0.9820   0.1727      201
features.10                      131    -0.634890 2.156101e-07 5.588659e-08   0.9258   0.0440      137
features.9                       306    -0.633708 3.270532e-07 1.043142e-07   0.9607   0.1292      137
features.8                       304    -0.633616 2.047774e-07 9.614739e-08   0.9294   0.0565      137
features.9                       125    -0.633427 3.719710e-07 1.314956e-07   0.9747   0.1629      137
features.9                       337    -0.632584 3.257478e-07 1.040639e-07   0.9579   0.1264      137
features.8                       321    -0.632486 3.694850e-07 2.002749e-07   0.9774   0.1723      137
features.6                        33    -0.631638 7.953187e-08 1.890307e-07   0.9096   0.0169       73
features.5                       143    -0.631319 9.959664e-08 3.600189e-07   0.9231   0.0495       73
