face_name_align,race,age_bin_scores_fair,race_scores_fair,age_bin_outputs,race_outputs,age_bin_preds_fair,race_preds_fair,age_bin,race
Images/UTKFace/3_0_0_20170110212752045.jpg.chip.jpg,0,[0.1078798  0.89212024],,[-1.2331197   0.87946355],,1,,0,
Images/UTKFace/9_0_0_20170110220413289.jpg.chip.jpg,0,[0.82435316 0.17564686],,[ 0.56716675 -0.9789568 ],,0,,0,
Images/UTKFace/24_1_0_20170105183611646.jpg.chip.jpg,0,[0.45490164 0.5450984 ],,[-0.29778463 -0.11689957],,1,,0,
Images/UTKFace/5_1_0_20170117140150663.jpg.chip.jpg,0,[0.83967495 0.16032507],,[ 0.6147552 -1.0410562],,0,,0,
Images/UTKFace/28_0_0_20170117180145941.jpg.chip.jpg,0,[0.17015225 0.8298477 ],,[-1.0275183  0.5570304],,1,,0,
Images/UTKFace/22_0_0_20170117143224571.jpg.chip.jpg,0,[0.74313056 0.25686944],,[ 0.2726112 -0.7896927],,0,,0,
Images/UTKFace/32_0_0_20170116201321051.jpg.chip.jpg,0,[0.99286854 0.00713146],,[ 2.2039115 -2.7321703],,0,,0,
Images/UTKFace/32_1_0_20170103182614674.jpg.chip.jpg,0,[0.84336275 0.15663728],,[ 0.5681539 -1.1153104],,0,,0,
Images/UTKFace/9_0_0_20170110221724498.jpg.chip.jpg,0,[0.5044784  0.49552158],,[-0.23573044 -0.25364456],,0,,0,
Images/UTKFace/26_0_0_20170113210319790.jpg.chip.jpg,0,[0.09602356 0.90397644],,[-1.3366499  0.9055597],,1,,0,
Images/UTKFace/12_0_0_20170110215739155.jpg.chip.jpg,0,[0.83583933 0.16416068],,[ 0.56803924 -1.0595514 ],,0,,0,
Images/UTKFace/24_0_0_20170117150031708.jpg.chip.jpg,0,[0.59180194 0.40819803],,[-0.02923268 -0.40065223],,0,,0,
Images/UTKFace/9_0_0_20170110221716630.jpg.chip.jpg,0,[0.25546607 0.7445339 ],,[-0.7605076   0.30916128],,1,,0,
Images/UTKFace/2_0_0_20161219162303390.jpg.chip.jpg,0,[0.97091997 0.02908004],,[ 1.5077249 -2.0004673],,0,,0,
Images/UTKFace/25_1_0_20170117140624359.jpg.chip.jpg,0,[0.5817671  0.41823298],,[-0.05061968 -0.38065118],,0,,0,
