face_name_align,race,gender_scores_fair,race_scores_fair,gender_outputs,race_outputs,gender_preds_fair,race_preds_fair,gender,race
Images/UTKFace/40_0_0_20170117140006196.jpg.chip.jpg,0,[0.91689456 0.08310541],,[ 1.0954754 -1.3054073],,0,,0,
Images/UTKFace/25_0_0_20170116223144178.jpg.chip.jpg,0,[0.80187136 0.19812869],,[ 0.3922584 -1.005773 ],,0,,0,
Images/UTKFace/40_0_0_20170117134415492.jpg.chip.jpg,0,[0.8025887  0.19741125],,[ 0.59424204 -0.8083112 ],,0,,0,
Images/UTKFace/50_0_0_20170117160624326.jpg.chip.jpg,0,[9.9900645e-01 9.9355553e-04],,[ 3.0290549 -3.8841717],,0,,0,
Images/UTKFace/68_0_0_20170117171408597.jpg.chip.jpg,0,[0.9921738  0.00782621],,[ 2.1292603 -2.71316  ],,0,,0,
Images/UTKFace/9_0_0_20170110221701052.jpg.chip.jpg,0,[0.73202217 0.26797783],,[ 0.36147326 -0.64343333],,0,,0,
Images/UTKFace/4_0_0_20170105183540567.jpg.chip.jpg,0,[0.7750766  0.22492333],,[ 0.6513798 -0.5858225],,0,,0,
Images/UTKFace/47_0_0_20170119205119560.jpg.chip.jpg,0,[9.993013e-01 6.986509e-04],,[ 3.2493832 -4.0162773],,0,,0,
Images/UTKFace/40_0_0_20170117151450653.jpg.chip.jpg,0,[9.9984425e-01 1.5572156e-04],,[ 4.198123  -4.5691624],,0,,0,
Images/UTKFace/25_0_0_20170117151532082.jpg.chip.jpg,0,[0.99449944 0.00550054],,[ 2.0723455 -3.1250484],,0,,0,
Images/UTKFace/60_0_0_20170109013457906.jpg.chip.jpg,0,[9.9923664e-01 7.6340145e-04],,[ 3.3370962 -3.8398666],,0,,0,
Images/UTKFace/12_0_0_20170117182308749.jpg.chip.jpg,0,[0.85779834 0.1422017 ],,[ 0.7575947 -1.0395278],,0,,0,
Images/UTKFace/45_0_0_20170104184307637.jpg.chip.jpg,0,[9.9996418e-01 3.5881967e-05],,[ 4.9047956 -5.3304443],,0,,0,
Images/UTKFace/26_0_0_20170117091440776.jpg.chip.jpg,0,[9.999239e-01 7.612317e-05],,[ 4.5616894 -4.9213924],,0,,0,
Images/UTKFace/88_0_0_20170113185121024.jpg.chip.jpg,0,[0.87560564 0.12439434],,[ 0.77092546 -1.1805338 ],,0,,0,
Images/UTKFace/38_0_0_20170113210604697.jpg.chip.jpg,0,[9.9922746e-01 7.7256432e-04],,[ 3.2658494 -3.899173 ],,0,,0,
Images/UTKFace/54_0_0_20170120223256415.jpg.chip.jpg,0,[0.989206   0.01079398],,[ 2.0191681 -2.4987457],,0,,0,
Images/UTKFace/78_0_0_20170111210454101.jpg.chip.jpg,0,[0.97076243 0.02923754],,[ 1.6570419 -1.8455863],,0,,0,
Images/UTKFace/47_0_0_20170117155944017.jpg.chip.jpg,0,[9.9994630e-01 5.3712534e-05],,[ 4.6693554 -5.162455 ],,0,,0,
Images/UTKFace/26_0_0_20170117153343071.jpg.chip.jpg,0,[9.9969876e-01 3.0124772e-04],,[ 3.8457046 -4.261572 ],,0,,0,
Images/UTKFace/58_0_0_20170117184403351.jpg.chip.jpg,0,[0.95520604 0.04479399],,[ 1.4331502 -1.6267029],,0,,0,
Images/UTKFace/53_0_0_20170117163655617.jpg.chip.jpg,0,[9.9987930e-01 1.2067807e-04],,[ 4.359878  -4.6623855],,0,,0,
Images/UTKFace/50_0_0_20170117155052592.jpg.chip.jpg,0,[0.9925429  0.00745705],,[ 2.096783 -2.794328],,0,,0,
Images/UTKFace/46_0_0_20170104204638611.jpg.chip.jpg,0,[9.9978703e-01 2.1295341e-04],,[ 4.0008645 -4.4533596],,0,,0,
Images/UTKFace/25_0_0_20170116220630282.jpg.chip.jpg,0,[0.97571236 0.02428764],,[ 1.4812784 -2.2119217],,0,,0,
Images/UTKFace/42_0_0_20170104184018702.jpg.chip.jpg,0,[0.9989007  0.00109932],,[ 2.8091264 -4.002836 ],,0,,0,
Images/UTKFace/10_0_0_20170110224255796.jpg.chip.jpg,0,[0.77652895 0.22347106],,[ 0.42801514 -0.8175369 ],,0,,0,
