face_name_align,gender,race_scores_fair,gender_scores_fair,race_outputs,gender_outputs,race_preds_fair,gender_preds_fair,race,gender
Images/UTKFace/40_0_0_20170117140006196.jpg.chip.jpg,0,[0.7532283  0.24677166],,[ 0.31989753 -0.7960074 ],,0,,0,
Images/UTKFace/25_0_0_20170116223144178.jpg.chip.jpg,0,[0.5518115 0.4481885],,[-0.12757827 -0.3355708 ],,0,,0,
Images/UTKFace/40_0_0_20170117134415492.jpg.chip.jpg,0,[0.8020161  0.19798398],,[ 0.48955348 -0.90938896],,0,,0,
Images/UTKFace/50_0_0_20170117160624326.jpg.chip.jpg,0,[0.8182881 0.1817119],,[ 0.5517808 -0.9530113],,0,,0,
Images/UTKFace/68_0_0_20170117171408597.jpg.chip.jpg,0,[0.7014202  0.29857984],,[ 0.24460553 -0.6094642 ],,0,,0,
Images/UTKFace/9_0_0_20170110221701052.jpg.chip.jpg,0,[0.4725093  0.52749074],,[-0.3499406  -0.23986667],,1,,0,
Images/UTKFace/4_0_0_20170105183540567.jpg.chip.jpg,0,[0.28000483 0.71999514],,[-0.73748434  0.20695327],,1,,0,
Images/UTKFace/47_0_0_20170119205119560.jpg.chip.jpg,0,[0.8241191  0.17588088],,[ 0.45571947 -1.0887887 ],,0,,0,
Images/UTKFace/40_0_0_20170117151450653.jpg.chip.jpg,0,[0.76328737 0.23671262],,[ 0.36375633 -0.8070316 ],,0,,0,
Images/UTKFace/25_0_0_20170117151532082.jpg.chip.jpg,0,[0.41483438 0.5851657 ],,[-0.47691113 -0.13289547],,1,,0,
Images/UTKFace/60_0_0_20170109013457906.jpg.chip.jpg,0,[0.86324173 0.13675825],,[ 0.7923051 -1.0501748],,0,,0,
Images/UTKFace/12_0_0_20170117182308749.jpg.chip.jpg,0,[0.6067118  0.39328822],,[-0.01103309 -0.4445443 ],,0,,0,
Images/UTKFace/45_0_0_20170104184307637.jpg.chip.jpg,0,[0.86531985 0.13468017],,[ 0.6767223 -1.1834741],,0,,0,
Images/UTKFace/26_0_0_20170117091440776.jpg.chip.jpg,0,[0.7181523  0.28184772],,[ 0.27936643 -0.6559483 ],,0,,0,
Images/UTKFace/88_0_0_20170113185121024.jpg.chip.jpg,0,[0.7919715  0.20802854],,[ 0.45673576 -0.8801143 ],,0,,0,
Images/UTKFace/38_0_0_20170113210604697.jpg.chip.jpg,0,[0.9597205  0.04027947],,[ 1.4714985 -1.6993017],,0,,0,
Images/UTKFace/54_0_0_20170120223256415.jpg.chip.jpg,0,[0.745383   0.25461695],,[ 0.308243 -0.765895],,0,,0,
Images/UTKFace/78_0_0_20170111210454101.jpg.chip.jpg,0,[0.91294736 0.08705265],,[ 0.979068  -1.3710971],,0,,0,
Images/UTKFace/47_0_0_20170117155944017.jpg.chip.jpg,0,[0.8449688 0.1550312],,[ 0.6310197 -1.0646536],,0,,0,
Images/UTKFace/26_0_0_20170117153343071.jpg.chip.jpg,0,[0.23397104 0.76602894],,[-0.8745617   0.31146082],,1,,0,
Images/UTKFace/58_0_0_20170117184403351.jpg.chip.jpg,0,[0.9657296  0.03427047],,[ 1.5308665 -1.8077333],,0,,0,
Images/UTKFace/53_0_0_20170117163655617.jpg.chip.jpg,0,[0.92423296 0.07576705],,[ 1.1021115 -1.3991894],,0,,0,
Images/UTKFace/50_0_0_20170117155052592.jpg.chip.jpg,0,[0.7208859  0.27911413],,[ 0.26761746 -0.6812425 ],,0,,0,
Images/UTKFace/46_0_0_20170104204638611.jpg.chip.jpg,0,[0.8096731 0.1903269],,[ 0.58097154 -0.866916  ],,0,,0,
Images/UTKFace/25_0_0_20170116220630282.jpg.chip.jpg,0,[0.92702895 0.07297103],,[ 1.1298416 -1.4120808],,0,,0,
Images/UTKFace/42_0_0_20170104184018702.jpg.chip.jpg,0,[0.8606977 0.1393023],,[ 0.69835895 -1.1227379 ],,0,,0,
Images/UTKFace/10_0_0_20170110224255796.jpg.chip.jpg,0,[0.9246863  0.07531372],,[ 1.1013143 -1.4064778],,0,,0,
Images/UTKFace/21_0_0_20170117142009042.jpg.chip.jpg,0,[0.5586529  0.44134715],,[-0.21633095 -0.4520275 ],,0,,0,
Images/UTKFace/25_0_0_20170116222939697.jpg.chip.jpg,0,[0.85889083 0.1411092 ],,[ 0.6452635 -1.1608443],,0,,0,
Images/UTKFace/13_0_0_20170110225447389.jpg.chip.jpg,0,[0.96760243 0.03239756],,[ 1.5383805 -1.8583575],,0,,0,
Images/UTKFace/25_0_0_20170113181532013.jpg.chip.jpg,0,[0.22104302 0.77895695],,[-0.9274149  0.3321835],,1,,0,
Images/UTKFace/9_0_0_20170110221724498.jpg.chip.jpg,0,[0.38614827 0.6138517 ],,[-0.34311417  0.12041777],,1,,0,
Images/UTKFace/35_0_0_20170116182345117.jpg.chip.jpg,0,[0.28073063 0.7192694 ],,[-0.7779872  0.1628531],,1,,0,
Images/UTKFace/54_0_0_20170104212522653.jpg.chip.jpg,0,[0.9161538  0.08384622],,[ 1.0404783 -1.3507216],,0,,0,
Images/UTKFace/68_0_0_20170117171135900.jpg.chip.jpg,0,[0.60757065 0.39242935],,[ 0.02638577 -0.41072604],,0,,0,
Images/UTKFace/26_0_0_20170113210319406.jpg.chip.jpg,0,[0.70974594 0.29025406],,[ 0.28336564 -0.6107848 ],,0,,0,
Images/UTKFace/52_0_0_20170104212021653.jpg.chip.jpg,0,[0.87168586 0.12831415],,[ 0.7211393 -1.1948082],,0,,0,
Images/UTKFace/30_0_0_20170113135527027.jpg.chip.jpg,0,[0.20998584 0.79001415],,[-0.9427175   0.38229337],,1,,0,
Images/UTKFace/65_0_0_20170117160554095.jpg.chip.jpg,0,[0.6830604  0.31693962],,[ 0.13769531 -0.6301767 ],,0,,0,
Images/UTKFace/67_0_0_20170108235729190.jpg.chip.jpg,0,[0.8763345  0.12366549],,[ 0.76979804 -1.1883696 ],,0,,0,
Images/UTKFace/36_0_0_20170117135846415.jpg.chip.jpg,0,[0.33297005 0.66703   ],,[-0.687917    0.00686543],,1,,0,
Images/UTKFace/43_0_0_20170104210618508.jpg.chip.jpg,0,[0.25201157 0.7479884 ],,[-0.7458204  0.342092 ],,1,,0,
Images/UTKFace/30_0_0_20170119195542220.jpg.chip.jpg,0,[0.770682   0.22931804],,[ 0.42292094 -0.78924507],,0,,0,
Images/UTKFace/32_0_0_20170114034605240.jpg.chip.jpg,0,[0.93081325 0.06918675],,[ 1.0874614 -1.511788 ],,0,,0,
Images/UTKFace/34_0_0_20170117141607879.jpg.chip.jpg,0,[0.5679905 0.4320095],,[-0.09741316 -0.37107033],,0,,0,
Images/UTKFace/82_0_0_20170111223913094.jpg.chip.jpg,0,[0.97515994 0.02484012],,[ 1.7010444 -1.9690971],,0,,0,
Images/UTKFace/52_0_0_20170117161015463.jpg.chip.jpg,0,[0.6793652  0.32063478],,[ 0.19221862 -0.55863744],,0,,0,
Images/UTKFace/25_0_0_20170105162443771.jpg.chip.jpg,0,[0.8032494  0.19675058],,[ 0.46575913 -0.9409693 ],,0,,0,
Images/UTKFace/26_0_0_20170113135319121.jpg.chip.jpg,0,[0.19984816 0.8001518 ],,[-1.0122511   0.37499255],,1,,0,
Images/UTKFace/60_0_0_20170113185244510.jpg.chip.jpg,0,[0.91962343 0.0803766 ],,[ 1.0791234 -1.3581177],,0,,0,
Images/UTKFace/9_0_0_20170110220132059.jpg.chip.jpg,0,[0.58313495 0.41686508],,[-0.11150569 -0.4471616 ],,0,,0,
Images/UTKFace/85_0_0_20170111210319130.jpg.chip.jpg,0,[0.93299365 0.06700636],,[ 1.1691437 -1.4644673],,0,,0,
Images/UTKFace/17_0_0_20170120133328941.jpg.chip.jpg,0,[0.76188344 0.23811659],,[ 0.36319456 -0.79983854],,0,,0,
Images/UTKFace/31_0_0_20170105165008674.jpg.chip.jpg,0,[0.8797508  0.12024928],,[ 0.8444847 -1.1455871],,0,,0,
Images/UTKFace/26_0_0_20170113182141220.jpg.chip.jpg,0,[0.8163129 0.1836871],,[ 0.48323894 -1.008325  ],,0,,0,
