================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 79
  prune_ratio  : 0.864679 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:30:30
  t_score      : 62.0s (그룹별 점수 pass)
  t_greedy     : 3.4s (greedy 선택)
  total_params        : 2192320
  active_before/after : 659943 / 653772
  sparsity_all        : 70.18% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 86.47% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  ----------------------------------------------------------------------------------------------------------------------------------
  features.0.0                     N       864       864       864       864        0      (0.454,0.546)                  -         0
  features.1.conv.0.0              Y       288        39        38        38        1      (0.420,0.580)      (0.420,0.580)        58
  features.1.conv.1                Y       512        71        69        69        2      (0.409,0.591)      (0.409,0.591)       131
  features.2.conv.0.0              Y      1536       213       207       207        6      (0.437,0.563)      (0.437,0.563)       411
  features.2.conv.1.0              Y       864       119       116       116        3      (0.423,0.577)      (0.423,0.577)       206
  features.2.conv.2                Y      2304       319       311       311        8      (0.430,0.570)      (0.430,0.570)       608
  features.3.conv.0.0              Y      3456       479       467       467       12      (0.435,0.565)      (0.435,0.565)       921
  features.3.conv.1.0              Y      1296       179       175       175        4      (0.445,0.555)      (0.445,0.555)       343
  features.3.conv.2                Y      3456       479       467       467       12      (0.433,0.567)      (0.433,0.567)       881
  features.4.conv.0.0              Y      3456       479       467       467       12      (0.444,0.556)      (0.444,0.556)       909
  features.4.conv.1.0              Y      1296       179       175       175        4      (0.453,0.547)      (0.453,0.547)       347
  features.4.conv.2                Y      4608       639       623       623       16      (0.444,0.556)      (0.444,0.556)      1156
  features.5.conv.0.0              Y      6144       852       831       831       21      (0.437,0.563)      (0.437,0.563)      1622
  features.5.conv.1.0              Y      1728       239       233       233        6      (0.433,0.567)      (0.433,0.567)       441
  features.5.conv.2                Y      6144       852       831       831       21      (0.437,0.563)      (0.437,0.563)      1539
  features.6.conv.0.0              Y      6144       852       831       831       21      (0.437,0.563)      (0.437,0.563)      1562
  features.6.conv.1.0              Y      1728       239       233       233        6      (0.439,0.561)      (0.439,0.561)       405
  features.6.conv.2                Y      6144       852       831       831       21      (0.432,0.568)      (0.432,0.568)       833
  features.7.conv.0.0              Y      6144       852       831       831       21      (0.439,0.561)      (0.439,0.561)      1616
  features.7.conv.1.0              Y      1728       239       233       233        6      (0.430,0.570)      (0.430,0.570)       235
  features.7.conv.2                Y     12288      1705      1662      1662       43      (0.436,0.564)      (0.436,0.564)      3298
  features.8.conv.0.0              Y     24576      3410      3325      3325       85      (0.439,0.561)      (0.439,0.561)      6620
  features.8.conv.1.0              Y      3456       479       467       467       12      (0.435,0.565)      (0.435,0.565)       915
  features.8.conv.2                Y     24576      3410      3325      3325       85      (0.435,0.565)      (0.435,0.565)      6569
  features.9.conv.0.0              Y     24576      3410      3325      3325       85      (0.442,0.558)      (0.442,0.558)      6479
  features.9.conv.1.0              Y      3456       479       467       467       12      (0.440,0.560)      (0.440,0.560)       920
  features.9.conv.2                Y     24576      3410      3325      3325       85      (0.435,0.565)      (0.435,0.565)      6549
  features.10.conv.0.0             Y     24576      3410      3325      3325       85      (0.448,0.552)      (0.448,0.552)      6566
  features.10.conv.1.0             Y      3456       479       467       467       12      (0.437,0.563)      (0.437,0.563)       924
  features.10.conv.2               Y     24576      3410      3325      3325       85      (0.436,0.564)      (0.436,0.564)      6591
  features.11.conv.0.0             Y     24576      3410      3325      3325       85      (0.440,0.560)      (0.440,0.560)      6522
  features.11.conv.1.0             Y      3456       479       467       467       12      (0.432,0.568)      (0.432,0.568)       917
  features.11.conv.2               Y     36864      5116      4988      4988      128      (0.426,0.574)      (0.426,0.574)      9857
  features.12.conv.0.0             Y     55296      7674      7482      7482      192      (0.430,0.570)      (0.430,0.570)     14693
  features.12.conv.1.0             Y      5184       719       701       701       18      (0.422,0.578)      (0.422,0.578)      1389
  features.12.conv.2               Y     55296      7674      7482      7482      192      (0.427,0.573)      (0.427,0.573)     14816
  features.13.conv.0.0             Y     55296      7674      7482      7482      192      (0.430,0.570)      (0.430,0.570)     14752
  features.13.conv.1.0             Y      5184       719       701       701       18      (0.427,0.573)      (0.427,0.573)      1390
  features.13.conv.2               Y     55296      7674      7482      7482      192      (0.427,0.573)      (0.427,0.573)     14747
  features.14.conv.0.0             Y     55296      7674      7482      7482      192      (0.428,0.572)      (0.428,0.572)     14634
  features.14.conv.1.0             Y      5184       719       701       701       18      (0.429,0.571)      (0.429,0.571)      1341
  features.14.conv.2               Y     92160     12790     12471     12471      319      (0.433,0.567)      (0.433,0.567)     24577
  features.15.conv.0.0             Y    153600     21318     20785     20785      533      (0.426,0.574)      (0.426,0.574)     40836
  features.15.conv.1.0             Y      8640      1199      1169      1169       30      (0.425,0.575)      (0.425,0.575)      2317
  features.15.conv.2               Y    153600     21318     20785     20785      533      (0.425,0.575)      (0.425,0.575)     41173
  features.16.conv.0.0             Y    153600     21318     20785     20785      533      (0.422,0.578)      (0.422,0.578)     41071
  features.16.conv.1.0             Y      8640      1199      1169      1169       30      (0.424,0.576)      (0.424,0.576)      2318
  features.16.conv.2               Y    153600     21318     20785     20785      533      (0.427,0.573)      (0.427,0.573)     41196
  features.17.conv.0.0             Y    153600     21318     20785     20785      533      (0.422,0.578)      (0.422,0.578)     40962
  features.17.conv.1.0             Y      8640      1199      1169      1169       30      (0.419,0.581)      (0.419,0.581)      2227
  features.17.conv.2               Y    307200     42636     41570     41570     1066      (0.426,0.574)      (0.426,0.574)     82502
  features.18.0                    N    409600    409600    409600    409600        0      (0.433,0.567)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.421,0.579)                  -         0
