layer,channels,spearman_rho,spearman_p,pearson_r,pearson_p
features.1.conv.1,16,0.5735294117647058,0.020191038046523092,0.4899359913494102,0.054047886427004005
features.10.conv.1.0,384,-0.07128588231554185,0.16327763142233864,-0.025705874272500755,0.6155472502982918
features.11.conv.1.0,384,0.13645561357702352,0.007410924057056067,0.23153344503249645,4.544937401499539e-06
features.12.conv.1.0,576,-0.2765494777701616,1.4288667009846342e-11,-0.06155684394741541,0.14006352104760159
features.13.conv.1.0,576,-0.30267189578862946,1.1435831880922732e-13,-0.11685836395352327,0.0049829329138745306
features.14.conv.1.0,576,0.2309031356247688,2.0758125679817595e-08,0.11736361319389514,0.004796969463398573
features.15.conv.1.0,960,-0.2088485339068293,6.373882180496002e-11,-0.017224971010878207,0.5940056017550538
features.16.conv.1.0,960,0.036561931800187214,0.2577469141284855,0.05048753123855414,0.11799195024363641
features.17.conv.1.0,960,0.42965963233467036,2.0927847520909352e-44,0.012497702014122147,0.6989503785563318
features.2.conv.1.0,96,-0.5132257189365166,8.952190064098674e-08,-0.28108145625951125,0.005535296016445231
features.3.conv.1.0,144,0.17597058114299494,0.03488118729879139,0.48753656678197654,5.742485278148162e-10
features.4.conv.1.0,144,0.12672212844626637,0.13014743537443632,0.1584815560541872,0.057799951811491834
features.5.conv.1.0,192,0.08297785041911945,0.25252361026432957,0.2560042494179494,0.0003383099319148978
features.6.conv.1.0,192,-0.17056567560968997,0.0180128623200035,0.1270783159794794,0.0790067319158918
features.7.conv.1.0,192,0.16368547052600171,0.023292383040870668,0.2436821933819283,0.0006592199784113427
features.8.conv.1.0,384,-0.1469043521752399,0.003914030777648734,0.09251366889157969,0.0701617001146371
features.9.conv.1.0,384,-0.12552394184833585,0.013836479605450048,-0.05852569382685338,0.25257938338213765
