layer,channels,spearman_rho,spearman_p,pearson_r,pearson_p
features.10.conv.1.0,384,0.03843064160036907,0.45270922294515303,-0.008754490496158174,0.8642266924927614
features.11.conv.1.0,384,0.16981346003865588,0.000834472396032898,0.2353308588402454,3.1295783940244977e-06
features.12.conv.1.0,576,-0.19905737909769516,1.4700150367567386e-06,-0.05469638705737252,0.18991078445876525
features.13.conv.1.0,576,-0.19890378578014728,1.4981839631682223e-06,-0.09557895716182513,0.021780953379045506
features.14.conv.1.0,576,0.2796988778743576,8.19620368231669e-12,0.16468219680964935,7.159257455461439e-05
features.15.conv.1.0,960,-0.1534897227536054,1.7718138071711563e-06,-0.010714187273600103,0.7402336420980261
features.16.conv.1.0,960,0.11545336661154734,0.0003376936277725856,0.05596139220451577,0.08309576792541915
features.17.conv.1.0,960,0.40521209604177083,3.0832447188345264e-39,0.01852738697202552,0.5664067948993169
features.18.0,1280,,,,
features.2.conv.1.0,96,-0.2141074335322843,0.036198370568295085,-0.12819018251104797,0.21324511517763564
features.3.conv.1.0,144,0.2762157382847038,0.0008047914142066448,0.5209031173884371,2.186677574775123e-11
features.4.conv.1.0,144,0.4277831364038261,8.893418178025611e-08,0.5633725577298057,1.9692066906654912e-13
features.5.conv.1.0,192,0.1447521905433633,0.04515469409087437,0.2586812850505551,0.0002913772372913776
features.6.conv.1.0,192,-0.046286249084447825,0.5237895728093884,0.15722685364940492,0.0294107267123566
features.7.conv.1.0,192,0.25019328323793505,0.00046530564929505604,0.42569795009697264,7.484376087867657e-10
features.8.conv.1.0,384,-0.09442541792411245,0.06453693059187932,0.09990193750814476,0.05044345856568915
features.9.conv.1.0,384,-0.03813410792025868,0.4562065973748334,-0.04046000660416981,0.4291832982431176
