layer,block,channel,baseline_eo_all,pruned_eo_all,delta_eo_all,delta_eo_all_abs,phi,perf
features.17.conv.1.0,features.17,0,0.17054892370443422,0.17440850552311712,0.0038595818186829,0.0038595818186829,4.8657703644039436e-08,4.245177995590432e-09
features.17.conv.1.0,features.17,1,0.17054892370443422,0.16998004945020329,-0.0005688742542309388,0.0005688742542309388,1.5470125447336613e-07,2.3550168412600487e-10
features.17.conv.1.0,features.17,2,0.17054892370443422,0.16885664981078669,-0.001692273893647539,0.001692273893647539,4.461288085622073e-07,1.7171201960319846e-09
features.17.conv.1.0,features.17,3,0.17054892370443422,0.1712490845635075,0.0007001608590732622,0.0007001608590732622,1.71227384271333e-07,2.677046945231964e-09
features.17.conv.1.0,features.17,4,0.17054892370443422,0.17070585077708328,0.0001569270726490546,0.0001569270726490546,2.754383388037241e-07,6.4611131722625e-10
features.17.conv.1.0,features.17,5,0.17054892370443422,0.1707109901550045,0.00016206645057026403,0.00016206645057026403,3.51692989397634e-07,9.42503089462754e-10
features.17.conv.1.0,features.17,6,0.17054892370443422,0.17067181696787803,0.00012289326344380735,0.00012289326344380735,7.277911606706766e-08,5.56368284776454e-11
features.17.conv.1.0,features.17,7,0.17054892370443422,0.17043624927569512,-0.00011267442873910682,0.00011267442873910682,8.219925007324491e-08,7.12652090117949e-11
features.17.conv.1.0,features.17,8,0.17054892370443422,0.17048275358107598,-6.617012335824457e-05,6.617012335824457e-05,1.7158050980015105e-07,5.331248845164005e-10
features.17.conv.1.0,features.17,9,0.17054892370443422,0.1702810504776315,-0.0002678732268027173,0.0002678732268027173,9.894104380236969e-08,3.1703862105048053e-10
features.17.conv.1.0,features.17,10,0.17054892370443422,0.171447646082247,0.0008987223778127718,0.0008987223778127718,2.1270653860483438e-07,8.906021267685026e-10
features.17.conv.1.0,features.17,11,0.17054892370443422,0.17016495360890027,-0.0003839700955339531,0.0003839700955339531,1.7892156733978481e-07,8.389408820419496e-10
features.17.conv.1.0,features.17,12,0.17054892370443422,0.17118078105203866,0.0006318573476044309,0.0006318573476044309,1.516119851885378e-07,3.0151980218162677e-10
features.17.conv.1.0,features.17,13,0.17054892370443422,0.17047221672025598,-7.670698417824862e-05,7.670698417824862e-05,7.097034426806205e-08,1.525251626388613e-10
features.17.conv.1.0,features.17,14,0.17054892370443422,0.171112418191041,0.0005634944866067804,0.0005634944866067804,2.1291742768880797e-07,1.1927263135480535e-09
features.17.conv.1.0,features.17,15,0.17054892370443422,0.1679375202848229,-0.00261140341961133,0.00261140341961133,4.374883530999796e-07,2.50727028028308e-09
features.17.conv.1.0,features.17,16,0.17054892370443422,0.1704920442376422,-5.6879466792031375e-05,5.6879466792031375e-05,1.2193734733045858e-07,1.957695713872276e-09
features.17.conv.1.0,features.17,17,0.17054892370443422,0.17068815805405788,0.00013923434962365144,0.00013923434962365144,8.998731004794537e-08,1.8094961293235731e-10
features.17.conv.1.0,features.17,18,0.17054892370443422,0.17018658183373062,-0.00036234187070360857,0.00036234187070360857,9.632508835011323e-08,2.6064891217592034e-10
features.17.conv.1.0,features.17,19,0.17054892370443422,0.16884428533125856,-0.0017046383731756654,0.0017046383731756654,4.120768153370591e-07,3.169080747822406e-09
features.17.conv.1.0,features.17,20,0.17054892370443422,0.16955737424107484,-0.0009915494633593869,0.0009915494633593869,4.2748968098749174e-07,7.542111934988326e-10
features.17.conv.1.0,features.17,21,0.17054892370443422,0.17156308738721412,0.0010141636827799005,0.0010141636827799005,7.961037340464827e-08,6.663267628631563e-10
features.17.conv.1.0,features.17,22,0.17054892370443422,0.17019386203105907,-0.00035506167337515104,0.00035506167337515104,2.805487326895673e-07,2.773457810634205e-09
features.17.conv.1.0,features.17,23,0.17054892370443422,0.17064415689207485,9.523318764062538e-05,9.523318764062538e-05,8.03398307880343e-08,3.67732878002458e-10
features.17.conv.1.0,features.17,24,0.17054892370443422,0.16999873935721113,-0.0005501843472230927,0.0005501843472230927,3.292010148925329e-07,3.8613407610244005e-10
features.17.conv.1.0,features.17,25,0.17054892370443422,0.17078743899563656,0.00023851529120233472,0.00023851529120233472,2.2109890096544407e-07,1.9818307758767692e-10
features.17.conv.1.0,features.17,26,0.17054892370443422,0.17025612923223998,-0.00029279447219424104,0.00029279447219424104,1.241122760120561e-07,1.4161238501286808e-10
features.17.conv.1.0,features.17,27,0.17054892370443422,0.17042082844669718,-0.00012809525773704866,0.00012809525773704866,8.787463912085515e-08,1.8070412874382488e-10
features.17.conv.1.0,features.17,28,0.17054892370443422,0.17575495555681533,0.00520603185238111,0.00520603185238111,3.394898442365957e-07,1.6870128766166559e-09
features.17.conv.1.0,features.17,29,0.17054892370443422,0.17086749759529551,0.00031857389086129007,0.00031857389086129007,4.329050113938138e-07,3.4223364420160607e-10
features.17.conv.1.0,features.17,30,0.17054892370443422,0.16976556195726852,-0.0007833617471657006,0.0007833617471657006,6.526835818476684e-07,3.2786443837640174e-09
features.17.conv.1.0,features.17,31,0.17054892370443422,0.17450062792352639,0.003951704219092161,0.003951704219092161,1.50824035927144e-07,3.2832283419770287e-10
features.17.conv.1.0,features.17,32,0.17054892370443422,0.16792657473438288,-0.0026223489700513414,0.0026223489700513414,1.3965093614842774e-07,1.2237236397816263e-09
features.17.conv.1.0,features.17,33,0.17054892370443422,0.17054892370443422,0.0,0.0,0.0,0.0
features.17.conv.1.0,features.17,34,0.17054892370443422,0.17076369067338187,0.00021476696894764946,0.00021476696894764946,1.9555218955247258e-07,4.318700674854625e-10
features.17.conv.1.0,features.17,35,0.17054892370443422,0.17021368066997994,-0.0003352430344542856,0.0003352430344542856,8.361771364207017e-08,1.5384965523779215e-10
features.17.conv.1.0,features.17,36,0.17054892370443422,0.16976037004590055,-0.0007885536585336694,0.0007885536585336694,2.444045037464093e-07,5.111125689349905e-10
features.17.conv.1.0,features.17,37,0.17054892370443422,0.17365420378508611,0.00310528008065189,0.00310528008065189,3.261235690388276e-07,1.9906436360406232e-09
features.17.conv.1.0,features.17,38,0.17054892370443422,0.16907154771816565,-0.0014773759862685698,0.0014773759862685698,2.665327656359296e-07,5.509239696388502e-10
features.17.conv.1.0,features.17,39,0.17054892370443422,0.16995154287955425,-0.0005973808248799783,0.0005973808248799783,1.8157120962314369e-07,4.1138930456652284e-10
features.17.conv.1.0,features.17,40,0.17054892370443422,0.1698840515301175,-0.0006648721743167108,0.0006648721743167108,1.5414302367844357e-07,2.3314627659032356e-10
features.17.conv.1.0,features.17,41,0.17054892370443422,0.1705748899665763,2.5966262142074203e-05,2.5966262142074203e-05,1.8201231455350358e-07,1.5559209892712642e-09
features.17.conv.1.0,features.17,42,0.17054892370443422,0.1736898127619183,0.003140889057484081,0.003140889057484081,1.4151895300074102e-07,6.397950294556587e-10
features.17.conv.1.0,features.17,43,0.17054892370443422,0.1705729211640525,2.39974596182857e-05,2.39974596182857e-05,2.586719745067967e-07,2.493906831046999e-09
features.17.conv.1.0,features.17,44,0.17054892370443422,0.16802039031594368,-0.0025285333884905448,0.0025285333884905448,4.319151969411905e-07,9.151956137376515e-10
features.17.conv.1.0,features.17,45,0.17054892370443422,0.16989103663378768,-0.0006578870706465401,0.0006578870706465401,1.3940031351467044e-07,2.92857498668253e-10
features.17.conv.1.0,features.17,46,0.17054892370443422,0.17054486553254009,-4.05817189413904e-06,4.05817189413904e-06,8.545296736883756e-08,9.22935158853555e-10
features.17.conv.1.0,features.17,47,0.17054892370443422,0.1696300372248269,-0.0009188864796073337,0.0009188864796073337,5.55431370230508e-07,3.6999709546181587e-10
features.17.conv.1.0,features.17,48,0.17054892370443422,0.1688070590073579,-0.001741864697076323,0.001741864697076323,2.392039846199623e-07,5.174645503758234e-10
features.17.conv.1.0,features.17,49,0.17054892370443422,0.1703175786968717,-0.00023134500756252785,0.00023134500756252785,2.1979990094678215e-07,1.4062944697634803e-09
features.17.conv.1.0,features.17,50,0.17054892370443422,0.16936814327618846,-0.0011807804282457646,0.0011807804282457646,1.686480857188144e-07,4.947829576606998e-10
features.17.conv.1.0,features.17,51,0.17054892370443422,0.16917465068915263,-0.0013742730152815907,0.0013742730152815907,2.5690056304483733e-07,1.687775766368027e-09
features.17.conv.1.0,features.17,52,0.17054892370443422,0.16914635948378806,-0.001402564220646163,0.001402564220646163,2.459005088439881e-07,1.1779537345546487e-09
features.17.conv.1.0,features.17,53,0.17054892370443422,0.17010200998779873,-0.0004469137166354942,0.0004469137166354942,4.764010839153343e-07,1.3970927609241455e-09
features.17.conv.1.0,features.17,54,0.17054892370443422,0.16989920749443788,-0.0006497162099963483,0.0006497162099963483,1.6322319140726904e-07,2.9237309795426825e-10
features.17.conv.1.0,features.17,55,0.17054892370443422,0.17091963084135317,0.0003707071369189463,0.0003707071369189463,1.312120048169163e-07,1.6919552703331675e-09
features.17.conv.1.0,features.17,56,0.17054892370443422,0.1693440347302417,-0.0012048889741925195,0.0012048889741925195,1.197426371390975e-07,7.064274894219569e-10
features.17.conv.1.0,features.17,57,0.17054892370443422,0.1700008870793696,-0.0005480366250646129,0.0005480366250646129,2.0846169945798465e-07,3.95959959265113e-10
features.17.conv.1.0,features.17,58,0.17054892370443422,0.17121497887241088,0.0006660551679766591,0.0006660551679766591,2.543074231198261e-07,1.7571469279609175e-09
features.17.conv.1.0,features.17,59,0.17054892370443422,0.17039389651065506,-0.0001550271937791614,0.0001550271937791614,6.943136554582452e-08,8.823771019406124e-10
features.17.conv.1.0,features.17,60,0.17054892370443422,0.16955458762208453,-0.000994336082349695,0.000994336082349695,4.634153185634205e-07,5.681455444994653e-10
features.17.conv.1.0,features.17,61,0.17054892370443422,0.1687349980027283,-0.0018139257017059374,0.0018139257017059374,3.48391637317036e-07,1.410721872652232e-09
features.17.conv.1.0,features.17,62,0.17054892370443422,0.16990073749574458,-0.0006481862086896439,0.0006481862086896439,2.874345454983996e-07,8.499037307263534e-10
features.17.conv.1.0,features.17,63,0.17054892370443422,0.16922159864695754,-0.0013273250574766804,0.0013273250574766804,2.769129707758111e-07,1.599289048415109e-09
features.17.conv.1.0,features.17,64,0.17054892370443422,0.17067149610558505,0.00012257240115082224,0.00012257240115082224,1.1501109042910684e-07,2.7761877866017137e-10
features.17.conv.1.0,features.17,65,0.17054892370443422,0.17018678567840115,-0.00036213802603307643,0.00036213802603307643,8.06045150625323e-08,1.702187661656307e-10
features.17.conv.1.0,features.17,66,0.17054892370443422,0.17186752283160986,0.0013185991271756348,0.0013185991271756348,1.392660493593212e-07,1.4173976818632195e-09
features.17.conv.1.0,features.17,67,0.17054892370443422,0.17008096111919768,-0.0004679625852365421,0.0004679625852365421,3.120283906810073e-07,7.287399503286274e-10
features.17.conv.1.0,features.17,68,0.17054892370443422,0.16880774459375145,-0.0017411791106827779,0.0017411791106827779,3.641496704176461e-08,6.520091064277088e-10
features.17.conv.1.0,features.17,69,0.17054892370443422,0.171479625172184,0.0009307014677497893,0.0009307014677497893,2.656154265423538e-07,1.2885678773999487e-09
features.17.conv.1.0,features.17,70,0.17054892370443422,0.1686750096576757,-0.001873914046758518,0.001873914046758518,1.3568103440775306e-07,1.2845579808185015e-09
features.17.conv.1.0,features.17,71,0.17054892370443422,0.16934178999534624,-0.001207133709087982,0.001207133709087982,1.4693409866595178e-07,3.7812054876074086e-10
features.17.conv.1.0,features.17,72,0.17054892370443422,0.17073934443142535,0.00019042072699113066,0.00019042072699113066,1.2127217985380412e-07,1.899475618460933e-09
